Height	Weight	Index	Gender
continuous	continuous	discrete	discrete
		class	meta
174.0	96.0	4	Male
189.0	87.0	2	Male
185.0	110.0	4	Female
195.0	104.0	3	Female
149.0	61.0	3	Male
189.0	104.0	3	Male
147.0	92.0	5	Male
154.0	111.0	5	Male
174.0	90.0	3	Male
169.0	103.0	4	Female
195.0	81.0	2	Male
159.0	80.0	4	Female
192.0	101.0	3	Female
155.0	51.0	2	Male
191.0	79.0	2	Male
153.0	107.0	5	Female
157.0	110.0	5	Female
140.0	129.0	5	Male
144.0	145.0	5	Male
172.0	139.0	5	Male
157.0	110.0	5	Male
153.0	149.0	5	Female
169.0	97.0	4	Female
185.0	139.0	5	Male
172.0	67.0	2	Female
151.0	64.0	3	Female
190.0	95.0	3	Male
187.0	62.0	1	Male
163.0	159.0	5	Female
179.0	152.0	5	Male
153.0	121.0	5	Male
178.0	52.0	1	Male
195.0	65.0	1	Female
160.0	131.0	5	Female
157.0	153.0	5	Female
189.0	132.0	4	Female
197.0	114.0	3	Female
144.0	80.0	4	Male
171.0	152.0	5	Female
185.0	81.0	2	Female
175.0	120.0	4	Female
149.0	108.0	5	Female
157.0	56.0	2	Male
161.0	118.0	5	Male
182.0	126.0	4	Female
185.0	76.0	2	Male
188.0	122.0	4	Female
181.0	111.0	4	Male
161.0	72.0	3	Male
140.0	152.0	5	Male
168.0	135.0	5	Female
176.0	54.0	1	Female
163.0	110.0	5	Male
172.0	105.0	4	Male
196.0	116.0	4	Male
187.0	89.0	3	Female
172.0	92.0	4	Male
178.0	127.0	5	Male
164.0	70.0	3	Female
143.0	88.0	5	Male
191.0	54.0	0	Female
141.0	143.0	5	Female
193.0	54.0	0	Male
190.0	83.0	2	Male
175.0	135.0	5	Male
179.0	158.0	5	Female
172.0	96.0	4	Female
168.0	59.0	2	Female
164.0	82.0	4	Female
194.0	136.0	4	Female
153.0	51.0	2	Female
178.0	117.0	4	Male
141.0	80.0	5	Male
180.0	75.0	2	Male
185.0	100.0	3	Female
197.0	154.0	4	Female
165.0	104.0	4	Male
168.0	90.0	4	Female
176.0	122.0	4	Female
181.0	51.0	0	Male
164.0	75.0	3	Male
166.0	140.0	5	Female
190.0	105.0	3	Female
186.0	118.0	4	Male
168.0	123.0	5	Male
198.0	50.0	0	Male
175.0	141.0	5	Female
145.0	117.0	5	Male
159.0	104.0	5	Female
185.0	140.0	5	Female
178.0	154.0	5	Female
183.0	96.0	3	Female
194.0	111.0	3	Female
177.0	61.0	2	Male
197.0	119.0	4	Male
170.0	156.0	5	Female
142.0	69.0	4	Male
160.0	139.0	5	Male
195.0	69.0	1	Male
190.0	50.0	0	Female
199.0	156.0	4	Male
154.0	105.0	5	Male
161.0	155.0	5	Male
198.0	145.0	4	Female
192.0	140.0	4	Female
195.0	126.0	4	Male
166.0	160.0	5	Male
159.0	154.0	5	Male
181.0	106.0	4	Female
149.0	66.0	3	Male
150.0	70.0	4	Female
146.0	157.0	5	Female
190.0	135.0	4	Male
192.0	90.0	2	Female
177.0	96.0	4	Female
148.0	60.0	3	Male
165.0	57.0	2	Female
146.0	104.0	5	Female
144.0	108.0	5	Male
176.0	156.0	5	Female
168.0	87.0	4	Female
187.0	122.0	4	Male
187.0	138.0	4	Male
184.0	160.0	5	Female
158.0	149.0	5	Female
158.0	96.0	4	Male
194.0	115.0	4	Male
145.0	79.0	4	Female
182.0	151.0	5	Male
154.0	54.0	2	Male
