satisfaction_level	number_project	average_montly_hours	time_spend_company	salary	promotion_last_5years	left	Work_accident	last_evaluation	sales
continuous	continuous	continuous	continuous	discrete	discrete	discrete	discrete	continuous	discrete
									class
0.38	2.0	157.0	3.0	low	0	1	0	0.53	sales
0.8	5.0	262.0	6.0	medium	0	1	0	0.86	sales
0.11	7.0	272.0	4.0	medium	0	1	0	0.88	sales
0.72	5.0	223.0	5.0	low	0	1	0	0.87	sales
0.37	2.0	159.0	3.0	low	0	1	0	0.52	sales
0.41	2.0	153.0	3.0	low	0	1	0	0.5	sales
0.1	6.0	247.0	4.0	low	0	1	0	0.77	sales
0.92	5.0	259.0	5.0	low	0	1	0	0.85	sales
0.89	5.0	224.0	5.0	low	0	1	0	1.0	sales
0.42	2.0	142.0	3.0	low	0	1	0	0.53	sales
0.45	2.0	135.0	3.0	low	0	1	0	0.54	sales
0.11	6.0	305.0	4.0	low	0	1	0	0.81	sales
0.84	4.0	234.0	5.0	low	0	1	0	0.92	sales
0.41	2.0	148.0	3.0	low	0	1	0	0.55	sales
0.36	2.0	137.0	3.0	low	0	1	0	0.56	sales
0.38	2.0	143.0	3.0	low	0	1	0	0.54	sales
0.45	2.0	160.0	3.0	low	0	1	0	0.47	sales
0.78	4.0	255.0	6.0	low	0	1	0	0.99	sales
0.45	2.0	160.0	3.0	low	1	1	1	0.51	sales
0.76	5.0	262.0	5.0	low	0	1	0	0.89	sales
0.11	6.0	282.0	4.0	low	0	1	0	0.83	sales
0.38	2.0	147.0	3.0	low	0	1	0	0.55	sales
0.09	6.0	304.0	4.0	low	0	1	0	0.95	sales
0.46	2.0	139.0	3.0	low	0	1	0	0.57	sales
0.4	2.0	158.0	3.0	low	0	1	0	0.53	sales
0.89	5.0	242.0	5.0	low	0	1	0	0.92	sales
0.82	4.0	239.0	5.0	low	0	1	0	0.87	sales
0.4	2.0	135.0	3.0	low	0	1	0	0.49	sales
0.41	2.0	128.0	3.0	low	0	1	0	0.46	accounting
0.38	2.0	132.0	3.0	low	0	1	0	0.5	accounting
0.09	6.0	294.0	4.0	low	0	1	0	0.62	accounting
0.45	2.0	134.0	3.0	low	0	1	0	0.57	hr
0.4	2.0	145.0	3.0	low	0	1	0	0.51	hr
0.45	2.0	140.0	3.0	low	0	1	0	0.55	hr
0.84	4.0	246.0	6.0	low	0	1	0	0.87	hr
0.1	6.0	255.0	4.0	low	0	1	0	0.94	technical
0.38	2.0	137.0	3.0	low	0	1	0	0.46	technical
0.45	2.0	126.0	3.0	low	0	1	0	0.5	technical
