RIVER	ERECTED	LENGTH	LANES	CLEAR-G	T-OR-D	SPAN	REL-L	PURPOSE	TYPE	MATERIAL
discrete	continuous	continuous	continuous	discrete	discrete	discrete	discrete	discrete	discrete	discrete
										class
M	1818.0	1567.469135802469	2.0	N	THROUGH	SHORT	S	HIGHWAY	WOOD	WOOD
A	1819.0	1037.0	2.0	N	THROUGH	SHORT	S	HIGHWAY	WOOD	WOOD
A	1829.0	1567.469135802469	1.0	N	THROUGH	MEDIUM	S	AQUEDUCT	WOOD	WOOD
A	1837.0	1000.0	2.0	N	THROUGH	SHORT	S	HIGHWAY	WOOD	WOOD
M	1838.0	1567.469135802469	2.0	N	THROUGH	MEDIUM	S	HIGHWAY	WOOD	WOOD
A	1840.0	990.0	2.0	N	THROUGH	MEDIUM	S	HIGHWAY	WOOD	WOOD
A	1844.0	1000.0	1.0	N	THROUGH	SHORT	S	AQUEDUCT	SUSPEN	IRON
M	1846.0	1500.0	2.0	N	THROUGH	SHORT	S	HIGHWAY	SUSPEN	IRON
A	1848.0	1567.469135802469	1.0	N	DECK	MEDIUM	S	AQUEDUCT	WOOD	WOOD
A	1851.0	1000.0	2.0	N	THROUGH	MEDIUM	S	HIGHWAY	WOOD	WOOD
A	1853.0	1567.469135802469	2.0	N	DECK	MEDIUM	S	RR	WOOD	WOOD
M	1856.0	1200.0	2.0	N	THROUGH	MEDIUM	S	HIGHWAY	WOOD	WOOD
A	1856.0	1567.469135802469	2.0	N	THROUGH	MEDIUM	S	HIGHWAY	WOOD	WOOD
A	1857.0	1567.469135802469	2.0	N	THROUGH	MEDIUM	S	RR	WOOD	WOOD
A	1859.0	1030.0	2.0	N	THROUGH	MEDIUM	S-F	HIGHWAY	SUSPEN	IRON
M	1863.0	1000.0	2.0	N	THROUGH	MEDIUM	F	RR	SIMPLE-T	IRON
A	1864.0	1200.0	2.0	N	THROUGH	SHORT	S	RR	SIMPLE-T	IRON
A	1866.0	1000.0	2.0	N	THROUGH	MEDIUM	S	HIGHWAY	WOOD	WOOD
A	1870.0	1000.0	2.0	N	THROUGH	MEDIUM	S	HIGHWAY	WOOD	WOOD
M	1874.0	1567.469135802469	2.0	G	THROUGH	MEDIUM	F	RR	SIMPLE-T	IRON
M	1876.0	1245.0	2.630434782608696	G	THROUGH	LONG	F	HIGHWAY	SUSPEN	STEEL
A	1876.0	1200.0	4.0	G	THROUGH	SHORT	S	HIGHWAY	WOOD	WOOD
O	1878.0	1567.469135802469	2.0	G	THROUGH	MEDIUM	F	RR	SIMPLE-T	STEEL
M	1882.0	1567.469135802469	2.0	G	THROUGH	MEDIUM	F	RR	SIMPLE-T	STEEL
A	1883.0	1567.469135802469	2.0	G	THROUGH	MEDIUM	F	RR	SIMPLE-T	STEEL
M	1883.0	1150.0	2.0	G	THROUGH	MEDIUM	S	RR	SIMPLE-T	STEEL
A	1884.0	1567.469135802469	2.0	G	THROUGH	MEDIUM	F	RR	SIMPLE-T	STEEL
A	1884.0	1080.0	2.0	G	THROUGH	MEDIUM	F	HIGHWAY	SUSPEN	STEEL
M	1884.0	1000.0	2.0	G	THROUGH	MEDIUM	S	HIGHWAY	ARCH	STEEL
A	1887.0	1567.469135802469	2.0	G	THROUGH	MEDIUM	F	HIGHWAY	SIMPLE-T	IRON
M	1887.0	1161.0	2.0	G	THROUGH	MEDIUM	S	RR	SIMPLE-T	STEEL
O	1888.0	4558.0	2.0	G	THROUGH	LONG	F	RR	SIMPLE-T	STEEL
M	1889.0	1120.0	2.630434782608696	G	THROUGH	MEDIUM	F	HIGHWAY	SIMPLE-T	IRON
O	1890.0	1567.469135802469	2.0	G	THROUGH	SHORT	F	HIGHWAY	SIMPLE-T	IRON
A	1890.0	1000.0	2.0	G	THROUGH	MEDIUM	F	HIGHWAY	SIMPLE-T	STEEL
M	1891.0	1567.469135802469	2.0	G	THROUGH	MEDIUM	F	HIGHWAY	SIMPLE-T	IRON
M	1891.0	1350.0	2.0	G	THROUGH	MEDIUM	S	RR	SIMPLE-T	STEEL
A	1892.0	1567.469135802469	2.0	G	THROUGH	MEDIUM	F	HIGHWAY	SIMPLE-T	STEEL
A	1892.0	1092.0	1.0	N	THROUGH	SHORT	S	AQUEDUCT	WOOD	WOOD
M	1893.0	1567.469135802469	2.0	G	THROUGH	MEDIUM	F	HIGHWAY	SIMPLE-T	STEEL
M	1894.0	1567.469135802469	2.0	G	THROUGH	MEDIUM	F	HIGHWAY	SIMPLE-T	IRON
M	1895.0	2367.0	2.0	G	THROUGH	LONG	F	HIGHWAY	SIMPLE-T	STEEL
O	1896.0	1567.469135802469	2.0	G	THROUGH	LONG	F	HIGHWAY	SUSPEN	STEEL
M	1896.0	1040.0	2.0	G	THROUGH	LONG	F	HIGHWAY	ARCH	STEEL
