age	job	marital	month	education	default	housing	loan	contact	day_of_week	duration	campaign	pdays	previous	poutcome	emp.var.rate	cons.price.idx	cons.conf.idx	euribor3m	nr.employed	y
continuous	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	continuous	continuous	continuous	continuous	discrete	continuous	continuous	continuous	continuous	continuous	discrete
																				class
30.0	blue-collar	married	may	basic.9y	no	yes	no	cellular	fri	487.0	2.0	999.0	0.0	nonexistent	-1.8	92.893	-46.2	1.313	5099.1	no
39.0	services	single	may	high.school	no	no	no	telephone	fri	346.0	4.0	999.0	0.0	nonexistent	1.1	93.994	-36.4	4.855	5191.0	no
25.0	services	married	jun	high.school	no	yes	no	telephone	wed	227.0	1.0	999.0	0.0	nonexistent	1.4	94.465	-41.8	4.962	5228.1	no
38.0	services	married	jun	basic.9y	no	unknown	unknown	telephone	fri	17.0	3.0	999.0	0.0	nonexistent	1.4	94.465	-41.8	4.959	5228.1	no
47.0	admin.	married	nov	university.degree	no	yes	no	cellular	mon	58.0	1.0	999.0	0.0	nonexistent	-0.1	93.2	-42.0	4.191	5195.8	no
32.0	services	single	sep	university.degree	no	no	no	cellular	thu	128.0	3.0	999.0	2.0	failure	-1.1	94.199	-37.5	0.884	4963.6	no
32.0	admin.	single	sep	university.degree	no	yes	no	cellular	mon	290.0	4.0	999.0	0.0	nonexistent	-1.1	94.199	-37.5	0.879	4963.6	no
41.0	entrepreneur	married	nov	university.degree	unknown	yes	no	cellular	mon	44.0	2.0	999.0	0.0	nonexistent	-0.1	93.2	-42.0	4.191	5195.8	no
31.0	services	divorced	nov	professional.course	no	no	no	cellular	tue	68.0	1.0	999.0	1.0	failure	-0.1	93.2	-42.0	4.153	5195.8	no
35.0	blue-collar	married	may	basic.9y	unknown	no	no	telephone	thu	170.0	1.0	999.0	0.0	nonexistent	1.1	93.994	-36.4	4.855	5191.0	no
25.0	services	single	jul	basic.6y	unknown	yes	no	cellular	thu	301.0	1.0	999.0	0.0	nonexistent	1.4	93.918	-42.7	4.958	5228.1	no
36.0	self-employed	single	jul	basic.4y	no	no	no	cellular	thu	148.0	1.0	999.0	0.0	nonexistent	1.4	93.918	-42.7	4.968	5228.1	no
36.0	admin.	married	may	high.school	no	no	no	telephone	wed	97.0	2.0	999.0	0.0	nonexistent	1.1	93.994	-36.4	4.859	5191.0	no
47.0	blue-collar	married	jun	basic.4y	no	yes	no	telephone	thu	211.0	2.0	999.0	0.0	nonexistent	1.4	94.465	-41.8	4.958	5228.1	no
29.0	admin.	single	may	high.school	no	no	no	cellular	fri	553.0	2.0	999.0	0.0	nonexistent	-1.8	92.893	-46.2	1.313	5099.1	no
27.0	services	single	jul	university.degree	no	no	no	cellular	wed	698.0	2.0	999.0	0.0	nonexistent	1.4	93.918	-42.7	4.963	5228.1	no
44.0	admin.	divorced	jul	university.degree	no	no	no	cellular	wed	191.0	6.0	999.0	0.0	nonexistent	1.4	93.918	-42.7	4.957	5228.1	no
