Mileage,EngineV,Registration,Year,Price,Body,Engine Type,Brand,Model
continuous,continuous,discrete,continuous,continuous,discrete,discrete,discrete,string
,,,,,,,class,meta
277.0,2.0,yes,1991.0,4200.0,sedan,Petrol,BMW,320
427.0,2.9,yes,1999.0,7900.0,van,Diesel,Mercedes-Benz,Sprinter 212
358.0,5.0,yes,2003.0,13300.0,sedan,Gas,Mercedes-Benz,S 500
240.0,4.2,yes,2007.0,23000.0,crossover,Petrol,Audi,Q7
120.0,2.0,yes,2011.0,18300.0,crossover,Petrol,Toyota,Rav 4
0.0,5.5,yes,2016.0,199999.0,crossover,Petrol,Mercedes-Benz,GLS 63
438.0,2.0,yes,1997.0,6100.0,sedan,Gas,BMW,320
200.0,2.7,yes,2006.0,14200.0,vagon,Diesel,Audi,A6
193.0,1.5,yes,2012.0,10799.0,vagon,Diesel,Renault,Megane
212.0,1.8,no,1999.0,1400.0,other,Gas,Volkswagen,Golf IV
177.0,1.5,yes,2011.0,11950.0,vagon,Diesel,Renault,Megane
260.0,1.79,yes,1994.0,2500.0,sedan,Petrol,Renault,19
165.0,2.7,yes,2003.0,9500.0,vagon,Gas,Audi,A6 Allroad
100.0,1.8,yes,2008.0,10500.0,sedan,Petrol,Volkswagen,Passat B6
250.0,4.7,yes,2001.0,16000.0,crossover,Gas,Toyota,Land Cruiser 100
84.0,1.5,yes,2012.0,8600.0,hatch,Diesel,Renault,Clio
203.0,2.0,no,2001.0,2990.0,other,Petrol,BMW,318
240.0,2.2,yes,2007.0,19418.746935058713,van,Diesel,Mercedes-Benz,Vito
21.0,2.0,yes,2013.0,26500.0,crossover,Petrol,Toyota,Rav 4
250.0,2.5,no,1998.0,3500.0,vagon,Diesel,Audi,A6
0.0,2.4,yes,2016.0,38233.0,other,Diesel,Toyota,Hilux
132.0,1.4,yes,2006.0,7500.0,hatch,Diesel,Volkswagen,Polo
225.0,2.4,yes,1998.0,6800.0,sedan,Gas,Audi,A6
130.0,2.4,yes,2006.0,10500.0,crossover,Gas,Mitsubishi,Outlander
163.0,4.2,yes,2008.0,24900.0,sedan,Diesel,Audi,A8
151.0,3.0,yes,2008.0,20800.0,crossover,Diesel,Volkswagen,Touareg
330.0,2.4,yes,1999.0,6500.0,sedan,Petrol,Audi,A6
171.0,2.2,no,2011.0,13566.0,other,Other,Mercedes-Benz,Vito
65.0,1.3,yes,2010.0,8500.0,hatch,Petrol,Mitsubishi,Colt
0.0,4.6,yes,2016.0,19418.746935058713,crossover,Petrol,Mercedes-Benz,GLS 500
1.0,2.3,yes,1989.0,2900.0,sedan,Gas,Audi,100
72.0,3.0,yes,2007.0,21500.0,other,Petrol,BMW,Z4
87.0,3.8,yes,2008.0,17900.0,crossover,Gas,Mitsubishi,Pajero Wagon
160.0,4.8,yes,2008.0,28500.0,crossover,Gas,BMW,X5
160.0,1.9,yes,2009.0,9800.0,van,Diesel,Volkswagen,Caddy
147.0,2.4,yes,2006.0,14500.0,sedan,Gas,Toyota,Camry
300.0,2.8,yes,1996.0,6000.0,sedan,Petrol,BMW,528
1.0,2.5,yes,2016.0,67500.0,crossover,Diesel,BMW,X5
14.0,1.8,yes,2014.0,33900.0,other,Petrol,Audi,TT
180.0,2.79073420738975,no,2000.0,2500.0,sedan,Petrol,Audi,A4
230.0,2.15,yes,2004.0,9800.0,van,Diesel,Mercedes-Benz,Vito
86.0,5.5,yes,2009.0,63000.0,crossover,Petrol,Mercedes-Benz,G 55 AMG
326.0,2.8,yes,1998.0,7700.0,sedan,Petrol,BMW,528
30.0,2.2,yes,2006.0,9600.0,van,Diesel,Mercedes-Benz,Vito
181.0,2.4,yes,2008.0,12800.0,sedan,Petrol,Toyota,Camry
80.0,3.0,yes,2012.0,41000.0,crossover,Petrol,BMW,X6
220.0,2.4,yes,1987.0,2500.0,sedan,Petrol,Mitsubishi,Galant
231.0,2.5,yes,1990.0,3700.0,sedan,Petrol,BMW,525
134.0,5.0,yes,2008.0,29500.0,sedan,Petrol,Mercedes-Benz,S 500
335.0,2.8,yes,1996.0,6500.0,sedan,Petrol,BMW,528
145.0,3.2,yes,2007.0,19418.746935058713,sedan,Diesel,Mercedes-Benz,E-Class
66.0,1.5,yes,2014.0,8250.0,van,Diesel,Renault,Kangoo
172.0,3.5,yes,2008.0,19500.0,crossover,Other,Mercedes-Benz,ML 350
317.0,5.0,yes,2001.0,13500.0,sedan,Petrol,Mercedes-Benz,S 500
266.0,2.2,yes,2008.0,9200.0,van,Diesel,Mercedes-Benz,Vito
0.0,3.0,yes,2016.0,19418.746935058713,crossover,Diesel,Mercedes-Benz,GLS 350
156.0,2.79073420738975,yes,2005.0,10900.0,sedan,Gas,Toyota,Camry
265.0,2.0,no,2006.0,5000.0,vagon,Diesel,Volkswagen,Passat B6
162.0,4.8,yes,2007.0,23900.0,crossover,Petrol,BMW,X5
81.0,3.0,yes,2010.0,36900.0,sedan,Diesel,BMW,730
253.0,1.8,yes,1995.0,8900.0,other,Petrol,BMW,318
200.0,1.9,yes,2002.0,7800.0,van,Diesel,Renault,Trafic
7.0,4.4,yes,2015.0,133000.0,crossover,Petrol,BMW,X5 M
270.0,1.8,no,1995.0,1650.0,sedan,Petrol,BMW,318
240.0,3.5,yes,2006.0,50000.0,sedan,Petrol,Mercedes-Benz,S 350
245.0,2.0,yes,2008.0,9700.0,van,Diesel,Renault,Trafic
127.0,2.2,yes,2005.0,9999.0,van,Diesel,Mercedes-Benz,Vito
21.0,3.0,yes,2015.0,69999.0,crossover,Petrol,Audi,A6 Allroad
152.0,1.6,yes,2007.0,6500.0,sedan,Petrol,Mitsubishi,Lancer
267.0,1.9,no,2003.0,4300.0,sedan,Diesel,Audi,A6
267.0,2.5,no,1999.0,3000.0,sedan,Diesel,Audi,A6
240.0,2.2,yes,2000.0,8700.0,sedan,Diesel,Mercedes-Benz,E-Class
178.0,2.0,yes,2008.0,9000.0,vagon,Petrol,Renault,Scenic
190.0,1.8,yes,2011.0,20400.0,sedan,Gas,Mercedes-Benz,E-Class
175.0,3.0,no,2006.0,9000.0,sedan,Petrol,BMW,330
105.0,1.8,yes,2006.0,13400.0,sedan,Petrol,Mercedes-Benz,E-Class
195.0,1.9,no,2001.0,3700.0,sedan,Diesel,Volkswagen,Passat B5
126.0,2.0,yes,2012.0,9850.0,van,Diesel,Volkswagen,Caddy
420.0,2.0,no,2004.0,3700.0,hatch,Diesel,Audi,A3
195.0,4.0,yes,2003.0,15700.0,crossover,Gas,Toyota,Land Cruiser Prado
180.0,2.2,yes,2012.0,24500.0,sedan,Diesel,Mercedes-Benz,E-Class
195.0,1.6,yes,2007.0,7500.0,sedan,Gas,Mitsubishi,Lancer
231.0,2.5,yes,2002.0,11990.0,van,Diesel,Volkswagen,Caravelle
51.0,1.4,yes,2014.0,13708.5,hatch,Petrol,Volkswagen,Polo
287.0,2.5,yes,1999.0,8200.0,sedan,Gas,BMW,525
222.0,1.5,yes,2009.0,6999.0,van,Diesel,Renault,Kangoo
214.0,1.5,yes,2004.0,6750.0,vagon,Diesel,Renault,Megane
245.0,3.0,yes,2006.0,18500.0,sedan,Diesel,Audi,A8
83.0,2.0,yes,2009.0,14299.0,sedan,Petrol,Toyota,Avensis
210.0,3.2,yes,2007.0,28500.0,crossover,Diesel,Mercedes-Benz,GL 320
89.0,3.8,yes,2008.0,17000.0,crossover,Petrol,Mitsubishi,Pajero Wagon
0.0,3.0,yes,2016.0,19418.746935058713,crossover,Diesel,Mercedes-Benz,GL 350
130.0,4.7,yes,2008.0,25700.0,crossover,Gas,Mercedes-Benz,GL 450
333.0,2.5,no,2000.0,2650.0,vagon,Diesel,Audi,A6
116.0,1.5,yes,2008.0,8500.0,sedan,Petrol,Mitsubishi,Lancer X
405.0,2.0,yes,1992.0,4000.0,sedan,Diesel,Mercedes-Benz,200
131.0,1.5,yes,2011.0,11000.0,other,Diesel,Renault,Kangoo
138.0,2.0,yes,2007.0,14500.0,sedan,Petrol,Mercedes-Benz,E-Class
50.0,2.5,yes,1988.0,4099.0,sedan,Petrol,BMW,520
1.0,2.0,yes,2014.0,31500.0,crossover,Petrol,Volkswagen,Tiguan
207.0,1.5,yes,2003.0,4500.0,van,Diesel,Renault,Kangoo
207.0,1.9,yes,2004.0,6700.0,other,Diesel,Volkswagen,Caddy
85.0,1.5,yes,2012.0,19418.746935058713,van,Diesel,Renault,Kangoo
31.0,2.4,yes,2011.0,20800.0,crossover,Petrol,Mitsubishi,Outlander XL
0.0,2.98,yes,2016.0,107999.0,crossover,Diesel,Mercedes-Benz,GLS 350
334.0,2.0,no,1999.0,3500.0,sedan,Diesel,BMW,320
18.0,1.8,yes,2015.0,39000.0,sedan,Other,Audi,A5
150.0,4.7,yes,2002.0,13500.0,crossover,Gas,Toyota,Land Cruiser 100
175.0,1.6,yes,2007.0,6150.0,sedan,Petrol,Mitsubishi,Lancer
76.0,4.4,yes,2010.0,45500.0,crossover,Petrol,BMW,X6 M
295.0,2.0,yes,1994.0,4900.0,sedan,Petrol,BMW,520
5.0,2.0,yes,2014.0,47000.0,other,Petrol,BMW,Z4
190.0,2.7,yes,2005.0,19200.0,crossover,Gas,Toyota,Land Cruiser Prado
180.0,1.5,yes,2011.0,19418.746935058713,vagon,Diesel,Renault,Megane
119.0,2.4,yes,2008.0,11100.0,crossover,Gas,Mitsubishi,Outlander
139.0,1.5,yes,2012.0,8200.0,sedan,Other,Mitsubishi,Lancer X
235.0,2.0,yes,2007.0,10300.0,sedan,Petrol,Volkswagen,Passat B6
210.0,1.1,yes,2010.0,11990.0,van,Diesel,Renault,Scenic
340.0,2.79073420738975,yes,1986.0,800.0,sedan,Other,Mitsubishi,Galant
33.0,2.0,yes,2014.0,46800.0,sedan,Diesel,BMW,520
260.0,1.8,no,1994.0,1500.0,other,Gas,Volkswagen,Golf III
156.0,4.4,no,2002.0,6350.0,crossover,Gas,BMW,X5
16.0,3.0,yes,2014.0,19418.746935058713,sedan,Diesel,Mercedes-Benz,S 350
155.0,1.5,yes,2005.0,8900.0,hatch,Petrol,Mercedes-Benz,A 150
160.0,3.0,yes,2007.0,12700.0,van,Diesel,Mercedes-Benz,Vito
207.0,1.6,yes,2007.0,8000.0,sedan,Gas,Mitsubishi,Lancer
63.0,4.0,yes,2008.0,29500.0,crossover,Petrol,Toyota,FJ Cruiser
100.0,2.0,yes,2013.0,19418.746935058713,hatch,Petrol,Volkswagen,Golf GTI
208.0,1.5,yes,2008.0,7100.0,van,Diesel,Renault,Kangoo
103.0,2.5,yes,2010.0,10850.0,crossover,Gas,Renault,Koleos
277.0,2.5,yes,2001.0,19418.746935058713,van,Diesel,Volkswagen,T4 (Transporter)
0.0,4.5,yes,2016.0,195000.0,crossover,Diesel,Toyota,Land Cruiser 200
57.0,2.0,yes,2013.0,27000.0,sedan,Diesel,Volkswagen,Passat B7
64.0,2.0,yes,2011.0,18100.0,other,Petrol,Volkswagen,Scirocco
137.0,5.0,yes,2005.0,27000.0,sedan,Other,BMW,M5
300.0,2.2,yes,2002.0,8990.0,other,Petrol,BMW,320
82.0,2.7,yes,2013.0,32900.0,crossover,Petrol,Toyota,Venza
163.0,4.8,yes,2008.0,25500.0,other,Petrol,BMW,X5
153.0,2.0,yes,2003.0,8900.0,crossover,Petrol,Toyota,Rav 4
190.0,3.0,yes,2006.0,11950.0,sedan,Petrol,Audi,A6
125.0,2.2,yes,2010.0,22700.0,sedan,Diesel,Mercedes-Benz,E-Class
112.0,1.6,yes,1980.0,600.0,sedan,Petrol,Audi,80
165.0,2.2,yes,2003.0,13000.0,sedan,Gas,BMW,520
60.0,2.0,yes,2011.0,25000.0,other,Petrol,Audi,A5
119.0,4.0,yes,2008.0,26900.0,crossover,Gas,Toyota,Land Cruiser Prado
0.0,2.2,yes,2016.0,87777.0,van,Diesel,Mercedes-Benz,V 250
200.0,2.0,yes,2008.0,6000.0,van,Diesel,Volkswagen,Caddy
257.0,2.5,yes,2003.0,9800.0,vagon,Diesel,Audi,A6
197.0,2.0,yes,2006.0,13900.0,other,Diesel,Audi,A6
164.0,2.5,yes,2009.0,12200.0,van,Diesel,Renault,Trafic
205.0,2.7,yes,2005.0,13500.0,crossover,Diesel,Mercedes-Benz,ML 270
200.0,4.8,yes,2005.0,18100.0,crossover,Petrol,BMW,X5
200.0,3.0,yes,2010.0,33000.0,crossover,Diesel,BMW,X5
145.0,1.4,yes,2011.0,16900.0,crossover,Petrol,Volkswagen,Tiguan
110.0,1.8,yes,2011.0,22000.0,sedan,Petrol,Mercedes-Benz,C-Class
195.0,3.2,yes,2007.0,10700.0,sedan,Petrol,Volkswagen,Passat B6
226.0,2.2,yes,2000.0,7800.0,sedan,Diesel,Mercedes-Benz,E-Class
184.0,1.8,yes,2008.0,17300.0,sedan,Gas,Mercedes-Benz,E-Class
16.0,3.0,yes,2014.0,70000.0,sedan,Diesel,BMW,730
118.0,1.4,no,2001.0,2200.0,hatch,Petrol,Volkswagen,Lupo
256.0,2.2,yes,2002.0,8900.0,sedan,Petrol,BMW,5 Series
33.0,1.6,yes,2013.0,31600.0,sedan,Petrol,Mercedes-Benz,CLA 200
168.0,1.9,yes,2006.0,7900.0,other,Diesel,Volkswagen,T5 (Transporter)
97.0,3.5,yes,2012.0,28500.0,crossover,Petrol,Toyota,Highlander
140.0,1.5,yes,2012.0,6900.0,van,Diesel,Renault,Kangoo
280.0,2.5,yes,2000.0,8850.0,vagon,Diesel,BMW,525
164.0,1.4,yes,1999.0,3100.0,van,Petrol,Renault,Kangoo
250.0,2.5,yes,2000.0,8900.0,sedan,Petrol,BMW,525
130.0,1.4,yes,2005.0,6100.0,sedan,Petrol,Renault,Megane
260.0,1.8,no,1996.0,1400.0,sedan,Petrol,BMW,318
93.0,1.6,yes,2012.0,8800.0,van,Diesel,Volkswagen,Caddy
176.0,2.0,yes,2013.0,10299.0,other,Diesel,Renault,Trafic
170.0,1.6,yes,2004.0,6500.0,sedan,Petrol,Renault,Megane
1.0,4.7,yes,2015.0,169000.0,other,Petrol,Mercedes-Benz,S 500
151.0,1.6,yes,2007.0,9100.0,sedan,Gas,Toyota,Corolla
95.0,1.4,yes,2010.0,9950.0,hatch,Petrol,Volkswagen,Polo
260.0,4.7,yes,2003.0,24500.0,crossover,Gas,Toyota,Land Cruiser 100
27.0,3.0,yes,2013.0,51500.0,crossover,Diesel,Audi,Q7
290.0,1.9,yes,2008.0,12900.0,van,Diesel,Volkswagen,T5 (Transporter)
250.0,2.2,yes,2006.0,8000.0,van,Diesel,Mercedes-Benz,Vito
112.0,2.4,yes,2007.0,8100.0,sedan,Petrol,Mitsubishi,Galant
164.0,2.0,yes,2012.0,10100.0,van,Diesel,Renault,Trafic
300.0,2.5,no,1997.0,1900.0,sedan,Diesel,BMW,5 Series
187.0,2.0,yes,2012.0,10800.0,van,Diesel,Renault,Trafic
234.0,4.2,no,2004.0,8000.0,sedan,Gas,Audi,A8
120.0,2.6,yes,2004.0,15300.0,other,Petrol,Mercedes-Benz,CLK 240
