instant	cnt	yr	hum	mnth	holiday	weekday	season	weathersit	temp	atemp	windspeed	casual	registered	workingday	dteday
continuous	continuous	discrete	continuous	continuous	discrete	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	discrete	time
														class	meta
1.0	985.0	0	0.805833	1.0	0	6.0	1.0	2.0	0.344167	0.363625	0.160446	331.0	654.0	0	2011-01-01
2.0	801.0	0	0.696087	1.0	0	0.0	1.0	2.0	0.363478	0.353739	0.248539	131.0	670.0	0	2011-01-02
3.0	1349.0	0	0.437273	1.0	0	1.0	1.0	1.0	0.196364	0.189405	0.248309	120.0	1229.0	1	2011-01-03
4.0	1562.0	0	0.590435	1.0	0	2.0	1.0	1.0	0.2	0.212122	0.160296	108.0	1454.0	1	2011-01-04
5.0	1600.0	0	0.436957	1.0	0	3.0	1.0	1.0	0.226957	0.22927	0.1869	82.0	1518.0	1	2011-01-05
6.0	1606.0	0	0.518261	1.0	0	4.0	1.0	1.0	0.204348	0.233209	0.0895652	88.0	1518.0	1	2011-01-06
7.0	1510.0	0	0.498696	1.0	0	5.0	1.0	2.0	0.196522	0.208839	0.168726	148.0	1362.0	1	2011-01-07
8.0	959.0	0	0.535833	1.0	0	6.0	1.0	2.0	0.165	0.162254	0.266804	68.0	891.0	0	2011-01-08
9.0	822.0	0	0.434167	1.0	0	0.0	1.0	1.0	0.138333	0.116175	0.36195	54.0	768.0	0	2011-01-09
10.0	1321.0	0	0.482917	1.0	0	1.0	1.0	1.0	0.150833	0.150888	0.223267	41.0	1280.0	1	2011-01-10
11.0	1263.0	0	0.686364	1.0	0	2.0	1.0	2.0	0.169091	0.191464	0.122132	43.0	1220.0	1	2011-01-11
12.0	1162.0	0	0.599545	1.0	0	3.0	1.0	1.0	0.172727	0.160473	0.304627	25.0	1137.0	1	2011-01-12
13.0	1406.0	0	0.470417	1.0	0	4.0	1.0	1.0	0.165	0.150883	0.301	38.0	1368.0	1	2011-01-13
14.0	1421.0	0	0.537826	1.0	0	5.0	1.0	1.0	0.16087	0.188413	0.126548	54.0	1367.0	1	2011-01-14
15.0	1248.0	0	0.49875	1.0	0	6.0	1.0	2.0	0.233333	0.248112	0.157963	222.0	1026.0	0	2011-01-15
16.0	1204.0	0	0.48375	1.0	0	0.0	1.0	1.0	0.231667	0.234217	0.188433	251.0	953.0	0	2011-01-16
17.0	1000.0	0	0.5375	1.0	1	1.0	1.0	2.0	0.175833	0.176771	0.194017	117.0	883.0	0	2011-01-17
