instant	cnt	yr	hum	mnth	hr	holiday	weekday	season	weathersit	temp	atemp	windspeed	casual	registered	workingday	dteday
continuous	continuous	discrete	continuous	continuous	continuous	discrete	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	discrete	time
															class	meta
1.0	16.0	0	0.81	1.0	0.0	0	6.0	1.0	1.0	0.24	0.2879	0.0	3.0	13.0	0	2011-01-01
2.0	40.0	0	0.8	1.0	1.0	0	6.0	1.0	1.0	0.22	0.2727	0.0	8.0	32.0	0	2011-01-01
3.0	32.0	0	0.8	1.0	2.0	0	6.0	1.0	1.0	0.22	0.2727	0.0	5.0	27.0	0	2011-01-01
4.0	13.0	0	0.75	1.0	3.0	0	6.0	1.0	1.0	0.24	0.2879	0.0	3.0	10.0	0	2011-01-01
5.0	1.0	0	0.75	1.0	4.0	0	6.0	1.0	1.0	0.24	0.2879	0.0	0.0	1.0	0	2011-01-01
6.0	1.0	0	0.75	1.0	5.0	0	6.0	1.0	2.0	0.24	0.2576	0.0896	0.0	1.0	0	2011-01-01
7.0	2.0	0	0.8	1.0	6.0	0	6.0	1.0	1.0	0.22	0.2727	0.0	2.0	0.0	0	2011-01-01
8.0	3.0	0	0.86	1.0	7.0	0	6.0	1.0	1.0	0.2	0.2576	0.0	1.0	2.0	0	2011-01-01
9.0	8.0	0	0.75	1.0	8.0	0	6.0	1.0	1.0	0.24	0.2879	0.0	1.0	7.0	0	2011-01-01
10.0	14.0	0	0.76	1.0	9.0	0	6.0	1.0	1.0	0.32	0.3485	0.0	8.0	6.0	0	2011-01-01
11.0	36.0	0	0.76	1.0	10.0	0	6.0	1.0	1.0	0.38	0.3939	0.2537	12.0	24.0	0	2011-01-01
12.0	56.0	0	0.81	1.0	11.0	0	6.0	1.0	1.0	0.36	0.3333	0.2836	26.0	30.0	0	2011-01-01
13.0	84.0	0	0.77	1.0	12.0	0	6.0	1.0	1.0	0.42	0.4242	0.2836	29.0	55.0	0	2011-01-01
14.0	94.0	0	0.72	1.0	13.0	0	6.0	1.0	2.0	0.46	0.4545	0.2985	47.0	47.0	0	2011-01-01
15.0	106.0	0	0.72	1.0	14.0	0	6.0	1.0	2.0	0.46	0.4545	0.2836	35.0	71.0	0	2011-01-01
16.0	110.0	0	0.77	1.0	15.0	0	6.0	1.0	2.0	0.44	0.4394	0.2985	40.0	70.0	0	2011-01-01
17.0	93.0	0	0.82	1.0	16.0	0	6.0	1.0	2.0	0.42	0.4242	0.2985	41.0	52.0	0	2011-01-01
18.0	67.0	0	0.82	1.0	17.0	0	6.0	1.0	2.0	0.44	0.4394	0.2836	15.0	52.0	0	2011-01-01
19.0	35.0	0	0.88	1.0	18.0	0	6.0	1.0	3.0	0.42	0.4242	0.2537	9.0	26.0	0	2011-01-01
20.0	37.0	0	0.88	1.0	19.0	0	6.0	1.0	3.0	0.42	0.4242	0.2537	6.0	31.0	0	2011-01-01
21.0	36.0	0	0.87	1.0	20.0	0	6.0	1.0	2.0	0.4	0.4091	0.2537	11.0	25.0	0	2011-01-01
22.0	34.0	0	0.87	1.0	21.0	0	6.0	1.0	2.0	0.4	0.4091	0.194	3.0	31.0	0	2011-01-01
23.0	28.0	0	0.94	1.0	22.0	0	6.0	1.0	2.0	0.4	0.4091	0.2239	11.0	17.0	0	2011-01-01
24.0	39.0	0	0.88	1.0	23.0	0	6.0	1.0	2.0	0.46	0.4545	0.2985	15.0	24.0	0	2011-01-01
25.0	17.0	0	0.88	1.0	0.0	0	0.0	1.0	2.0	0.46	0.4545	0.2985	4.0	13.0	0	2011-01-02
26.0	17.0	0	0.94	1.0	1.0	0	0.0	1.0	2.0	0.44	0.4394	0.2537	1.0	16.0	0	2011-01-02
27.0	9.0	0	1.0	1.0	2.0	0	0.0	1.0	2.0	0.42	0.4242	0.2836	1.0	8.0	0	2011-01-02
28.0	6.0	0	0.94	1.0	3.0	0	0.0	1.0	2.0	0.46	0.4545	0.194	2.0	4.0	0	2011-01-02
29.0	3.0	0	0.94	1.0	4.0	0	0.0	1.0	2.0	0.46	0.4545	0.194	2.0	1.0	0	2011-01-02
30.0	2.0	0	0.77	1.0	6.0	0	0.0	1.0	3.0	0.42	0.4242	0.2985	0.0	2.0	0	2011-01-02
31.0	1.0	0	0.76	1.0	7.0	0	0.0	1.0	2.0	0.4	0.4091	0.194	0.0	1.0	0	2011-01-02
32.0	8.0	0	0.71	1.0	8.0	0	0.0	1.0	3.0	0.4	0.4091	0.2239	0.0	8.0	0	2011-01-02
33.0	20.0	0	0.76	1.0	9.0	0	0.0	1.0	2.0	0.38	0.3939	0.2239	1.0	19.0	0	2011-01-02
34.0	53.0	0	0.81	1.0	10.0	0	0.0	1.0	2.0	0.36	0.3485	0.2239	7.0	46.0	0	2011-01-02
35.0	70.0	0	0.71	1.0	11.0	0	0.0	1.0	2.0	0.36	0.3333	0.2537	16.0	54.0	0	2011-01-02
36.0	93.0	0	0.66	1.0	12.0	0	0.0	1.0	2.0	0.36	0.3333	0.2985	20.0	73.0	0	2011-01-02
37.0	75.0	0	0.66	1.0	13.0	0	0.0	1.0	2.0	0.36	0.3485	0.1343	11.0	64.0	0	2011-01-02
38.0	59.0	0	0.76	1.0	14.0	0	0.0	1.0	3.0	0.36	0.3485	0.194	4.0	55.0	0	2011-01-02
39.0	74.0	0	0.81	1.0	15.0	0	0.0	1.0	3.0	0.34	0.3333	0.1642	19.0	55.0	0	2011-01-02
40.0	76.0	0	0.71	1.0	16.0	0	0.0	1.0	3.0	0.34	0.3333	0.1642	9.0	67.0	0	2011-01-02
41.0	65.0	0	0.57	1.0	17.0	0	0.0	1.0	1.0	0.34	0.3333	0.194	7.0	58.0	0	2011-01-02
42.0	53.0	0	0.46	1.0	18.0	0	0.0	1.0	2.0	0.36	0.3333	0.3284	10.0	43.0	0	2011-01-02
43.0	30.0	0	0.42	1.0	19.0	0	0.0	1.0	1.0	0.32	0.2879	0.4478	1.0	29.0	0	2011-01-02
44.0	22.0	0	0.39	1.0	20.0	0	0.0	1.0	1.0	0.3	0.2727	0.3582	5.0	17.0	0	2011-01-02
45.0	31.0	0	0.44	1.0	21.0	0	0.0	1.0	1.0	0.26	0.2273	0.3284	11.0	20.0	0	2011-01-02
46.0	9.0	0	0.44	1.0	22.0	0	0.0	1.0	1.0	0.24	0.2121	0.2985	0.0	9.0	0	2011-01-02
47.0	8.0	0	0.47	1.0	23.0	0	0.0	1.0	1.0	0.22	0.2273	0.1642	0.0	8.0	0	2011-01-02
48.0	5.0	0	0.44	1.0	0.0	0	1.0	1.0	1.0	0.22	0.197	0.3582	0.0	5.0	1	2011-01-03
49.0	2.0	0	0.44	1.0	1.0	0	1.0	1.0	1.0	0.2	0.1667	0.4179	0.0	2.0	1	2011-01-03
50.0	1.0	0	0.47	1.0	4.0	0	1.0	1.0	1.0	0.16	0.1364	0.3881	0.0	1.0	1	2011-01-03
51.0	3.0	0	0.47	1.0	5.0	0	1.0	1.0	1.0	0.16	0.1364	0.2836	0.0	3.0	1	2011-01-03
52.0	30.0	0	0.5	1.0	6.0	0	1.0	1.0	1.0	0.14	0.1061	0.3881	0.0	30.0	1	2011-01-03
53.0	64.0	0	0.5	1.0	7.0	0	1.0	1.0	1.0	0.14	0.1364	0.194	1.0	63.0	1	2011-01-03
54.0	154.0	0	0.5	1.0	8.0	0	1.0	1.0	1.0	0.14	0.1212	0.2836	1.0	153.0	1	2011-01-03
55.0	88.0	0	0.43	1.0	9.0	0	1.0	1.0	1.0	0.16	0.1364	0.3881	7.0	81.0	1	2011-01-03
56.0	44.0	0	0.43	1.0	10.0	0	1.0	1.0	1.0	0.18	0.1667	0.2537	11.0	33.0	1	2011-01-03
57.0	51.0	0	0.4	1.0	11.0	0	1.0	1.0	1.0	0.2	0.1818	0.3284	10.0	41.0	1	2011-01-03
58.0	61.0	0	0.35	1.0	12.0	0	1.0	1.0	1.0	0.22	0.2121	0.2985	13.0	48.0	1	2011-01-03
59.0	61.0	0	0.35	1.0	13.0	0	1.0	1.0	1.0	0.24	0.2121	0.2836	8.0	53.0	1	2011-01-03
60.0	77.0	0	0.3	1.0	14.0	0	1.0	1.0	1.0	0.26	0.2424	0.2836	11.0	66.0	1	2011-01-03
61.0	72.0	0	0.3	1.0	15.0	0	1.0	1.0	1.0	0.26	0.2424	0.2537	14.0	58.0	1	2011-01-03
62.0	76.0	0	0.3	1.0	16.0	0	1.0	1.0	1.0	0.26	0.2424	0.2537	9.0	67.0	1	2011-01-03
63.0	157.0	0	0.3	1.0	17.0	0	1.0	1.0	1.0	0.24	0.2273	0.2239	11.0	146.0	1	2011-01-03
64.0	157.0	0	0.32	1.0	18.0	0	1.0	1.0	1.0	0.24	0.2576	0.1045	9.0	148.0	1	2011-01-03
65.0	110.0	0	0.47	1.0	19.0	0	1.0	1.0	1.0	0.2	0.2576	0.0	8.0	102.0	1	2011-01-03
66.0	52.0	0	0.47	1.0	20.0	0	1.0	1.0	1.0	0.2	0.2273	0.1045	3.0	49.0	1	2011-01-03
67.0	52.0	0	0.64	1.0	21.0	0	1.0	1.0	1.0	0.18	0.197	0.1343	3.0	49.0	1	2011-01-03
68.0	20.0	0	0.69	1.0	22.0	0	1.0	1.0	1.0	0.14	0.1515	0.1343	0.0	20.0	1	2011-01-03
69.0	12.0	0	0.55	1.0	23.0	0	1.0	1.0	1.0	0.18	0.2121	0.1045	1.0	11.0	1	2011-01-03
70.0	5.0	0	0.55	1.0	0.0	0	2.0	1.0	1.0	0.16	0.1818	0.1045	0.0	5.0	1	2011-01-04
71.0	2.0	0	0.59	1.0	1.0	0	2.0	1.0	1.0	0.16	0.1818	0.1045	0.0	2.0	1	2011-01-04
72.0	1.0	0	0.63	1.0	2.0	0	2.0	1.0	1.0	0.14	0.1515	0.1343	0.0	1.0	1	2011-01-04
73.0	2.0	0	0.63	1.0	4.0	0	2.0	1.0	1.0	0.14	0.1818	0.0896	0.0	2.0	1	2011-01-04
74.0	4.0	0	0.68	1.0	5.0	0	2.0	1.0	1.0	0.12	0.1515	0.1045	0.0	4.0	1	2011-01-04
75.0	36.0	0	0.74	1.0	6.0	0	2.0	1.0	1.0	0.12	0.1515	0.1045	0.0	36.0	1	2011-01-04
76.0	94.0	0	0.74	1.0	7.0	0	2.0	1.0	1.0	0.12	0.1515	0.1343	2.0	92.0	1	2011-01-04
77.0	179.0	0	0.69	1.0	8.0	0	2.0	1.0	1.0	0.14	0.1515	0.1642	2.0	177.0	1	2011-01-04
78.0	100.0	0	0.64	1.0	9.0	0	2.0	1.0	1.0	0.16	0.1515	0.2239	2.0	98.0	1	2011-01-04
79.0	42.0	0	0.69	1.0	10.0	0	2.0	1.0	2.0	0.16	0.1364	0.3284	5.0	37.0	1	2011-01-04
80.0	57.0	0	0.51	1.0	11.0	0	2.0	1.0	1.0	0.22	0.2121	0.2985	7.0	50.0	1	2011-01-04
81.0	78.0	0	0.51	1.0	12.0	0	2.0	1.0	1.0	0.22	0.2273	0.1642	12.0	66.0	1	2011-01-04
82.0	97.0	0	0.56	1.0	13.0	0	2.0	1.0	1.0	0.24	0.2273	0.194	18.0	79.0	1	2011-01-04
83.0	63.0	0	0.52	1.0	14.0	0	2.0	1.0	1.0	0.26	0.2576	0.2239	9.0	54.0	1	2011-01-04
84.0	65.0	0	0.52	1.0	15.0	0	2.0	1.0	1.0	0.28	0.2727	0.2537	17.0	48.0	1	2011-01-04
85.0	83.0	0	0.49	1.0	16.0	0	2.0	1.0	1.0	0.3	0.2879	0.2537	15.0	68.0	1	2011-01-04
