cnt	t1	t2	hum	wind_speed	weather_code	is_weekend	season	is_holiday	timestamp
continuous	continuous	continuous	continuous	continuous	continuous	discrete	continuous	discrete	time
								class	meta
182.0	3.0	2.0	93.0	6.0	3.0	1.0	3.0	0.0	2015-01-04 00:00:00
138.0	3.0	2.5	93.0	5.0	1.0	1.0	3.0	0.0	2015-01-04 01:00:00
134.0	2.5	2.5	96.5	0.0	1.0	1.0	3.0	0.0	2015-01-04 02:00:00
72.0	2.0	2.0	100.0	0.0	1.0	1.0	3.0	0.0	2015-01-04 03:00:00
47.0	2.0	0.0	93.0	6.5	1.0	1.0	3.0	0.0	2015-01-04 04:00:00
46.0	2.0	2.0	93.0	4.0	1.0	1.0	3.0	0.0	2015-01-04 05:00:00
51.0	1.0	-1.0	100.0	7.0	4.0	1.0	3.0	0.0	2015-01-04 06:00:00
75.0	1.0	-1.0	100.0	7.0	4.0	1.0	3.0	0.0	2015-01-04 07:00:00
131.0	1.5	-1.0	96.5	8.0	4.0	1.0	3.0	0.0	2015-01-04 08:00:00
301.0	2.0	-0.5	100.0	9.0	3.0	1.0	3.0	0.0	2015-01-04 09:00:00
528.0	3.0	-0.5	93.0	12.0	3.0	1.0	3.0	0.0	2015-01-04 10:00:00
727.0	2.0	-1.5	100.0	12.0	3.0	1.0	3.0	0.0	2015-01-04 11:00:00
862.0	2.0	-1.5	96.5	13.0	4.0	1.0	3.0	0.0	2015-01-04 12:00:00
916.0	3.0	-0.5	87.0	15.0	3.0	1.0	3.0	0.0	2015-01-04 13:00:00
1039.0	2.5	0.0	90.0	8.0	3.0	1.0	3.0	0.0	2015-01-04 14:00:00
869.0	2.0	-1.5	93.0	11.0	3.0	1.0	3.0	0.0	2015-01-04 15:00:00
737.0	3.0	0.0	93.0	12.0	3.0	1.0	3.0	0.0	2015-01-04 16:00:00
594.0	3.0	0.0	93.0	11.0	3.0	1.0	3.0	0.0	2015-01-04 17:00:00
522.0	3.0	1.5	93.0	6.5	3.0	1.0	3.0	0.0	2015-01-04 18:00:00
379.0	3.0	1.0	93.0	7.0	3.0	1.0	3.0	0.0	2015-01-04 19:00:00
328.0	3.0	3.0	93.0	4.0	3.0	1.0	3.0	0.0	2015-01-04 20:00:00
221.0	3.0	2.5	93.0	5.0	4.0	1.0	3.0	0.0	2015-01-04 21:00:00
178.0	3.0	2.0	93.0	6.0	4.0	1.0	3.0	0.0	2015-01-04 22:00:00
157.0	4.0	3.5	87.0	5.0	4.0	1.0	3.0	0.0	2015-01-04 23:00:00
83.0	4.0	3.0	93.0	6.0	4.0	0.0	3.0	0.0	2015-01-05 00:00:00
67.0	4.0	3.5	93.0	5.0	4.0	0.0	3.0	0.0	2015-01-05 01:00:00
32.0	5.0	4.0	87.0	6.0	4.0	0.0	3.0	0.0	2015-01-05 02:00:00
22.0	6.0	4.5	84.0	7.5	4.0	0.0	3.0	0.0	2015-01-05 03:00:00
38.0	6.5	5.0	84.0	8.0	4.0	0.0	3.0	0.0	2015-01-05 04:00:00
81.0	6.0	5.5	87.0	5.0	4.0	0.0	3.0	0.0	2015-01-05 05:00:00
444.0	7.0	6.5	81.0	5.0	3.0	0.0	3.0	0.0	2015-01-05 06:00:00
1597.0	7.0	6.0	81.0	6.5	3.0	0.0	3.0	0.0	2015-01-05 07:00:00
3161.0	8.0	7.5	79.0	5.0	3.0	0.0	3.0	0.0	2015-01-05 08:00:00
1342.0	8.0	7.0	82.0	6.0	3.0	0.0	3.0	0.0	2015-01-05 09:00:00
568.0	9.0	8.0	84.5	6.5	3.0	0.0	3.0	0.0	2015-01-05 10:00:00
584.0	9.0	7.5	90.5	10.0	3.0	0.0	3.0	0.0	2015-01-05 11:00:00
762.0	10.0	8.0	85.0	11.0	3.0	0.0	3.0	0.0	2015-01-05 12:00:00
873.0	10.0	8.5	82.0	10.0	3.0	0.0	3.0	0.0	2015-01-05 13:00:00
672.0	10.0	9.0	82.0	9.0	3.0	0.0	3.0	0.0	2015-01-05 14:00:00
807.0	10.0	8.5	79.0	10.0	3.0	0.0	3.0	0.0	2015-01-05 15:00:00
1192.0	10.0	8.5	73.5	13.0	3.0	0.0	3.0	0.0	2015-01-05 16:00:00
2761.0	9.5	7.5	73.5	12.0	3.0	0.0	3.0	0.0	2015-01-05 17:00:00
2389.0	9.5	7.5	69.0	14.0	3.0	0.0	3.0	0.0	2015-01-05 18:00:00
1274.0	9.0	6.5	71.0	14.0	3.0	0.0	3.0	0.0	2015-01-05 19:00:00
696.0	9.0	7.0	71.0	14.0	3.0	0.0	3.0	0.0	2015-01-05 20:00:00
411.0	9.0	7.0	71.0	11.0	3.0	0.0	3.0	0.0	2015-01-05 21:00:00
324.0	9.0	7.5	71.0	10.0	4.0	0.0	3.0	0.0	2015-01-05 22:00:00
192.0	8.5	7.5	73.5	8.0	4.0	0.0	3.0	0.0	2015-01-05 23:00:00
91.0	8.0	6.5	76.0	8.0	4.0	0.0	3.0	0.0	2015-01-06 00:00:00
73.0	8.0	6.5	76.0	8.0	4.0	0.0	3.0	0.0	2015-01-06 01:00:00
33.0	8.0	6.0	76.0	11.0	4.0	0.0	3.0	0.0	2015-01-06 02:00:00
19.0	8.0	5.5	76.0	14.0	4.0	0.0	3.0	0.0	2015-01-06 03:00:00
40.0	8.5	6.5	73.5	11.0	4.0	0.0	3.0	0.0	2015-01-06 04:00:00
74.0	8.0	5.5	82.0	14.0	4.0	0.0	3.0	0.0	2015-01-06 05:00:00
530.0	8.0	5.0	84.5	15.0	3.0	0.0	3.0	0.0	2015-01-06 06:00:00
1715.0	9.0	7.0	82.0	13.0	3.0	0.0	3.0	0.0	2015-01-06 07:00:00
3534.0	9.0	7.0	82.0	12.0	7.0	0.0	3.0	0.0	2015-01-06 08:00:00
1573.0	9.0	6.5	87.0	16.0	7.0	0.0	3.0	0.0	2015-01-06 09:00:00
635.0	10.0	7.5	88.0	19.5	3.0	0.0	3.0	0.0	2015-01-06 10:00:00
550.0	10.0	8.0	88.0	18.0	3.0	0.0	3.0	0.0	2015-01-06 11:00:00
395.0	11.0	11.0	85.0	19.0	7.0	0.0	3.0	0.0	2015-01-06 12:00:00
426.0	9.5	6.0	84.5	27.5	3.0	0.0	3.0	0.0	2015-01-06 13:00:00
579.0	9.0	6.0	71.0	26.0	3.0	0.0	3.0	0.0	2015-01-06 14:00:00
718.0	8.0	4.5	71.0	23.0	2.0	0.0	3.0	0.0	2015-01-06 15:00:00
1184.0	8.0	5.0	68.5	19.5	2.0	0.0	3.0	0.0	2015-01-06 16:00:00
2662.0	7.5	4.0	71.0	22.0	1.0	0.0	3.0	0.0	2015-01-06 17:00:00
2610.0	7.0	4.0	71.0	17.5	1.0	0.0	3.0	0.0	2015-01-06 18:00:00
1402.0	6.0	3.0	76.0	15.0	1.0	0.0	3.0	0.0	2015-01-06 19:00:00
720.0	5.5	2.5	78.5	15.0	1.0	0.0	3.0	0.0	2015-01-06 20:00:00
494.0	5.0	2.0	81.0	15.0	1.0	0.0	3.0	0.0	2015-01-06 21:00:00
344.0	4.5	1.5	81.0	13.0	1.0	0.0	3.0	0.0	2015-01-06 22:00:00
212.0	4.0	1.0	84.0	12.0	1.0	0.0	3.0	0.0	2015-01-06 23:00:00
102.0	4.0	1.0	81.0	12.0	1.0	0.0	3.0	0.0	2015-01-07 00:00:00
60.0	4.0	1.0	81.0	11.0	1.0	0.0	3.0	0.0	2015-01-07 01:00:00
33.0	4.0	1.5	81.0	10.0	1.0	0.0	3.0	0.0	2015-01-07 02:00:00
26.0	3.5	1.0	84.0	9.0	2.0	0.0	3.0	0.0	2015-01-07 03:00:00
33.0	4.0	1.5	81.0	10.0	2.0	0.0	3.0	0.0	2015-01-07 04:00:00
80.0	4.0	2.0	87.0	9.0	1.0	0.0	3.0	0.0	2015-01-07 05:00:00
526.0	5.0	2.5	81.0	10.0	1.0	0.0	3.0	0.0	2015-01-07 06:00:00
1757.0	5.5	2.5	81.0	13.0	1.0	0.0	3.0	0.0	2015-01-07 07:00:00
3618.0	6.5	3.5	81.0	15.0	2.0	0.0	3.0	0.0	2015-01-07 08:00:00
1714.0	8.0	5.0	76.0	19.0	3.0	0.0	3.0	0.0	2015-01-07 09:00:00
763.0	8.0	5.0	82.0	19.5	2.0	0.0	3.0	0.0	2015-01-07 10:00:00
690.0	9.0	6.0	76.0	21.0	2.0	0.0	3.0	0.0	2015-01-07 11:00:00
913.0	9.0	5.5	76.0	27.0	2.0	0.0	3.0	0.0	2015-01-07 12:00:00
982.0	9.5	6.0	71.5	28.0	2.0	0.0	3.0	0.0	2015-01-07 13:00:00
783.0	10.0	6.5	62.0	28.5	2.0	0.0	3.0	0.0	2015-01-07 14:00:00
794.0	9.0	6.0	68.5	25.0	2.0	0.0	3.0	0.0	2015-01-07 15:00:00
1171.0	9.0	6.0	76.0	25.0	3.0	0.0	3.0	0.0	2015-01-07 16:00:00
