total_bill	time	size	tip	sex	smoker	day
continuous	discrete	continuous	continuous	discrete	discrete	discrete
						class
16.99	Dinner	2.0	1.01	Female	No	Sun
10.34	Dinner	3.0	1.66	Male	No	Sun
21.01	Dinner	3.0	3.5	Male	No	Sun
23.68	Dinner	2.0	3.31	Male	No	Sun
24.59	Dinner	4.0	3.61	Female	No	Sun
25.29	Dinner	4.0	4.71	Male	No	Sun
8.77	Dinner	2.0	2.0	Male	No	Sun
26.88	Dinner	4.0	3.12	Male	No	Sun
15.04	Dinner	2.0	1.96	Male	No	Sun
14.78	Dinner	2.0	3.23	Male	No	Sun
10.27	Dinner	2.0	1.71	Male	No	Sun
35.26	Dinner	4.0	5.0	Female	No	Sun
15.42	Dinner	2.0	1.57	Male	No	Sun
18.43	Dinner	4.0	3.0	Male	No	Sun
14.83	Dinner	2.0	3.02	Female	No	Sun
21.58	Dinner	2.0	3.92	Male	No	Sun
10.33	Dinner	3.0	1.67	Female	No	Sun
16.29	Dinner	3.0	3.71	Male	No	Sun
16.97	Dinner	3.0	3.5	Female	No	Sun
20.65	Dinner	3.0	3.35	Male	No	Sat
17.92	Dinner	2.0	4.08	Male	No	Sat
20.29	Dinner	2.0	2.75	Female	No	Sat
15.77	Dinner	2.0	2.23	Female	No	Sat
39.42	Dinner	4.0	7.58	Male	No	Sat
19.82	Dinner	2.0	3.18	Male	No	Sat
17.81	Dinner	4.0	2.34	Male	No	Sat
13.37	Dinner	2.0	2.0	Male	No	Sat
12.69	Dinner	2.0	2.0	Male	No	Sat
21.7	Dinner	2.0	4.3	Male	No	Sat
19.65	Dinner	2.0	3.0	Female	No	Sat
9.55	Dinner	2.0	1.45	Male	No	Sat
18.35	Dinner	4.0	2.5	Male	No	Sat
15.06	Dinner	2.0	3.0	Female	No	Sat
20.69	Dinner	4.0	2.45	Female	No	Sat
17.78	Dinner	2.0	3.27	Male	No	Sat
24.06	Dinner	3.0	3.6	Male	No	Sat
16.31	Dinner	3.0	2.0	Male	No	Sat
16.93	Dinner	3.0	3.07	Female	No	Sat
18.69	Dinner	3.0	2.31	Male	No	Sat
31.27	Dinner	3.0	5.0	Male	No	Sat
16.04	Dinner	3.0	2.24	Male	No	Sat
17.46	Dinner	2.0	2.54	Male	No	Sun
13.94	Dinner	2.0	3.06	Male	No	Sun
9.68	Dinner	2.0	1.32	Male	No	Sun
30.4	Dinner	4.0	5.6	Male	No	Sun
18.29	Dinner	2.0	3.0	Male	No	Sun
22.23	Dinner	2.0	5.0	Male	No	Sun
32.4	Dinner	4.0	6.0	Male	No	Sun
28.55	Dinner	3.0	2.05	Male	No	Sun
18.04	Dinner	2.0	3.0	Male	No	Sun
12.54	Dinner	2.0	2.5	Male	No	Sun
10.29	Dinner	2.0	2.6	Female	No	Sun
34.81	Dinner	4.0	5.2	Female	No	Sun
9.94	Dinner	2.0	1.56	Male	No	Sun
25.56	Dinner	4.0	4.34	Male	No	Sun
19.49	Dinner	2.0	3.51	Male	No	Sun
38.01	Dinner	4.0	3.0	Male	Yes	Sat
26.41	Dinner	2.0	1.5	Female	No	Sat
11.24	Dinner	2.0	1.76	Male	Yes	Sat
48.27	Dinner	4.0	6.73	Male	No	Sat
20.29	Dinner	2.0	3.21	Male	Yes	Sat
13.81	Dinner	2.0	2.0	Male	Yes	Sat
11.02	Dinner	2.0	1.98	Male	Yes	Sat
18.29	Dinner	4.0	3.76	Male	Yes	Sat
17.59	Dinner	3.0	2.64	Male	No	Sat
20.08	Dinner	3.0	3.15	Male	No	Sat
16.45	Dinner	2.0	2.47	Female	No	Sat
3.07	Dinner	1.0	1.0	Female	Yes	Sat
20.23	Dinner	2.0	2.01	Male	No	Sat
15.01	Dinner	2.0	2.09	Male	Yes	Sat
12.02	Dinner	2.0	1.97	Male	No	Sat
17.07	Dinner	3.0	3.0	Female	No	Sat
26.86	Dinner	2.0	3.14	Female	Yes	Sat
25.28	Dinner	2.0	5.0	Female	Yes	Sat
14.73	Dinner	2.0	2.2	Female	No	Sat
10.51	Dinner	2.0	1.25	Male	No	Sat
17.92	Dinner	2.0	3.08	Male	Yes	Sat
27.2	Lunch	4.0	4.0	Male	No	Thur
22.76	Lunch	2.0	3.0	Male	No	Thur
17.29	Lunch	2.0	2.71	Male	No	Thur
19.44	Lunch	2.0	3.0	Male	Yes	Thur
16.66	Lunch	2.0	3.4	Male	No	Thur
10.07	Lunch	1.0	1.83	Female	No	Thur
32.68	Lunch	2.0	5.0	Male	Yes	Thur
15.98	Lunch	2.0	2.03	Male	No	Thur
34.83	Lunch	4.0	5.17	Female	No	Thur
13.03	Lunch	2.0	2.0	Male	No	Thur
18.28	Lunch	2.0	4.0	Male	No	Thur
24.71	Lunch	2.0	5.85	Male	No	Thur
21.16	Lunch	2.0	3.0	Male	No	Thur
28.97	Dinner	2.0	3.0	Male	Yes	Fri
22.49	Dinner	2.0	3.5	Male	No	Fri
5.75	Dinner	2.0	1.0	Female	Yes	Fri
16.32	Dinner	2.0	4.3	Female	Yes	Fri
22.75	Dinner	2.0	3.25	Female	No	Fri
40.17	Dinner	4.0	4.73	Male	Yes	Fri
27.28	Dinner	2.0	4.0	Male	Yes	Fri
12.03	Dinner	2.0	1.5	Male	Yes	Fri
21.01	Dinner	2.0	3.0	Male	Yes	Fri
12.46	Dinner	2.0	1.5	Male	No	Fri
11.35	Dinner	2.0	2.5	Female	Yes	Fri
15.38	Dinner	2.0	3.0	Female	Yes	Fri
44.3	Dinner	3.0	2.5	Female	Yes	Sat
22.42	Dinner	2.0	3.48	Female	Yes	Sat
20.92	Dinner	2.0	4.08	Female	No	Sat
15.36	Dinner	2.0	1.64	Male	Yes	Sat
20.49	Dinner	2.0	4.06	Male	Yes	Sat
25.21	Dinner	2.0	4.29	Male	Yes	Sat
18.24	Dinner	2.0	3.76	Male	No	Sat
14.31	Dinner	2.0	4.0	Female	Yes	Sat
14.0	Dinner	2.0	3.0	Male	No	Sat
7.25	Dinner	1.0	1.0	Female	No	Sat
38.07	Dinner	3.0	4.0	Male	No	Sun
23.95	Dinner	2.0	2.55	Male	No	Sun
25.71	Dinner	3.0	4.0	Female	No	Sun
17.31	Dinner	2.0	3.5	Female	No	Sun
29.93	Dinner	4.0	5.07	Male	No	Sun
10.65	Lunch	2.0	1.5	Female	No	Thur
12.43	Lunch	2.0	1.8	Female	No	Thur
24.08	Lunch	4.0	2.92	Female	No	Thur
11.69	Lunch	2.0	2.31	Male	No	Thur
13.42	Lunch	2.0	1.68	Female	No	Thur
14.26	Lunch	2.0	2.5	Male	No	Thur
15.95	Lunch	2.0	2.0	Male	No	Thur
12.48	Lunch	2.0	2.52	Female	No	Thur
29.8	Lunch	6.0	4.2	Female	No	Thur
8.52	Lunch	2.0	1.48	Male	No	Thur
14.52	Lunch	2.0	2.0	Female	No	Thur
11.38	Lunch	2.0	2.0	Female	No	Thur
22.82	Lunch	3.0	2.18	Male	No	Thur
19.08	Lunch	2.0	1.5	Male	No	Thur
20.27	Lunch	2.0	2.83	Female	No	Thur
11.17	Lunch	2.0	1.5	Female	No	Thur
12.26	Lunch	2.0	2.0	Female	No	Thur
18.26	Lunch	2.0	3.25	Female	No	Thur
8.51	Lunch	2.0	1.25	Female	No	Thur
10.33	Lunch	2.0	2.0	Female	No	Thur
14.15	Lunch	2.0	2.0	Female	No	Thur
16.0	Lunch	2.0	2.0	Male	Yes	Thur
13.16	Lunch	2.0	2.75	Female	No	Thur
17.47	Lunch	2.0	3.5	Female	No	Thur
34.3	Lunch	6.0	6.7	Male	No	Thur
41.19	Lunch	5.0	5.0	Male	No	Thur
27.05	Lunch	6.0	5.0	Female	No	Thur
16.43	Lunch	2.0	2.3	Female	No	Thur
8.35	Lunch	2.0	1.5	Female	No	Thur
18.64	Lunch	3.0	1.36	Female	No	Thur
11.87	Lunch	2.0	1.63	Female	No	Thur
9.78	Lunch	2.0	1.73	Male	No	Thur
7.51	Lunch	2.0	2.0	Male	No	Thur
14.07	Dinner	2.0	2.5	Male	No	Sun
13.13	Dinner	2.0	2.0	Male	No	Sun
17.26	Dinner	3.0	2.74	Male	No	Sun
24.55	Dinner	4.0	2.0	Male	No	Sun
19.77	Dinner	4.0	2.0	Male	No	Sun
29.85	Dinner	5.0	5.14	Female	No	Sun
48.17	Dinner	6.0	5.0	Male	No	Sun
25.0	Dinner	4.0	3.75	Female	No	Sun
13.39	Dinner	2.0	2.61	Female	No	Sun
16.49	Dinner	4.0	2.0	Male	No	Sun
21.5	Dinner	4.0	3.5	Male	No	Sun
12.66	Dinner	2.0	2.5	Male	No	Sun
16.21	Dinner	3.0	2.0	Female	No	Sun
13.81	Dinner	2.0	2.0	Male	No	Sun
17.51	Dinner	2.0	3.0	Female	Yes	Sun
24.52	Dinner	3.0	3.48	Male	No	Sun
20.76	Dinner	2.0	2.24	Male	No	Sun
31.71	Dinner	4.0	4.5	Male	No	Sun
