total_bill	day	time	size	tip	smoker	sex
continuous	discrete	discrete	continuous	continuous	discrete	discrete
						class
16.99	Sun	Dinner	2.0	1.01	No	Female
10.34	Sun	Dinner	3.0	1.66	No	Male
21.01	Sun	Dinner	3.0	3.5	No	Male
23.68	Sun	Dinner	2.0	3.31	No	Male
24.59	Sun	Dinner	4.0	3.61	No	Female
25.29	Sun	Dinner	4.0	4.71	No	Male
8.77	Sun	Dinner	2.0	2.0	No	Male
26.88	Sun	Dinner	4.0	3.12	No	Male
15.04	Sun	Dinner	2.0	1.96	No	Male
14.78	Sun	Dinner	2.0	3.23	No	Male
10.27	Sun	Dinner	2.0	1.71	No	Male
35.26	Sun	Dinner	4.0	5.0	No	Female
15.42	Sun	Dinner	2.0	1.57	No	Male
18.43	Sun	Dinner	4.0	3.0	No	Male
14.83	Sun	Dinner	2.0	3.02	No	Female
21.58	Sun	Dinner	2.0	3.92	No	Male
10.33	Sun	Dinner	3.0	1.67	No	Female
16.29	Sun	Dinner	3.0	3.71	No	Male
16.97	Sun	Dinner	3.0	3.5	No	Female
20.65	Sat	Dinner	3.0	3.35	No	Male
17.92	Sat	Dinner	2.0	4.08	No	Male
20.29	Sat	Dinner	2.0	2.75	No	Female
15.77	Sat	Dinner	2.0	2.23	No	Female
39.42	Sat	Dinner	4.0	7.58	No	Male
19.82	Sat	Dinner	2.0	3.18	No	Male
17.81	Sat	Dinner	4.0	2.34	No	Male
13.37	Sat	Dinner	2.0	2.0	No	Male
12.69	Sat	Dinner	2.0	2.0	No	Male
21.7	Sat	Dinner	2.0	4.3	No	Male
19.65	Sat	Dinner	2.0	3.0	No	Female
9.55	Sat	Dinner	2.0	1.45	No	Male
18.35	Sat	Dinner	4.0	2.5	No	Male
15.06	Sat	Dinner	2.0	3.0	No	Female
20.69	Sat	Dinner	4.0	2.45	No	Female
17.78	Sat	Dinner	2.0	3.27	No	Male
24.06	Sat	Dinner	3.0	3.6	No	Male
16.31	Sat	Dinner	3.0	2.0	No	Male
16.93	Sat	Dinner	3.0	3.07	No	Female
18.69	Sat	Dinner	3.0	2.31	No	Male
31.27	Sat	Dinner	3.0	5.0	No	Male
16.04	Sat	Dinner	3.0	2.24	No	Male
17.46	Sun	Dinner	2.0	2.54	No	Male
13.94	Sun	Dinner	2.0	3.06	No	Male
9.68	Sun	Dinner	2.0	1.32	No	Male
30.4	Sun	Dinner	4.0	5.6	No	Male
18.29	Sun	Dinner	2.0	3.0	No	Male
22.23	Sun	Dinner	2.0	5.0	No	Male
32.4	Sun	Dinner	4.0	6.0	No	Male
28.55	Sun	Dinner	3.0	2.05	No	Male
18.04	Sun	Dinner	2.0	3.0	No	Male
12.54	Sun	Dinner	2.0	2.5	No	Male
10.29	Sun	Dinner	2.0	2.6	No	Female
34.81	Sun	Dinner	4.0	5.2	No	Female
9.94	Sun	Dinner	2.0	1.56	No	Male
25.56	Sun	Dinner	4.0	4.34	No	Male
19.49	Sun	Dinner	2.0	3.51	No	Male
38.01	Sat	Dinner	4.0	3.0	Yes	Male
26.41	Sat	Dinner	2.0	1.5	No	Female
11.24	Sat	Dinner	2.0	1.76	Yes	Male
48.27	Sat	Dinner	4.0	6.73	No	Male
20.29	Sat	Dinner	2.0	3.21	Yes	Male
13.81	Sat	Dinner	2.0	2.0	Yes	Male
11.02	Sat	Dinner	2.0	1.98	Yes	Male
18.29	Sat	Dinner	4.0	3.76	Yes	Male
17.59	Sat	Dinner	3.0	2.64	No	Male
20.08	Sat	Dinner	3.0	3.15	No	Male
16.45	Sat	Dinner	2.0	2.47	No	Female
3.07	Sat	Dinner	1.0	1.0	Yes	Female
20.23	Sat	Dinner	2.0	2.01	No	Male
15.01	Sat	Dinner	2.0	2.09	Yes	Male
12.02	Sat	Dinner	2.0	1.97	No	Male
17.07	Sat	Dinner	3.0	3.0	No	Female
26.86	Sat	Dinner	2.0	3.14	Yes	Female
25.28	Sat	Dinner	2.0	5.0	Yes	Female
14.73	Sat	Dinner	2.0	2.2	No	Female
10.51	Sat	Dinner	2.0	1.25	No	Male
17.92	Sat	Dinner	2.0	3.08	Yes	Male
27.2	Thur	Lunch	4.0	4.0	No	Male
22.76	Thur	Lunch	2.0	3.0	No	Male
17.29	Thur	Lunch	2.0	2.71	No	Male
19.44	Thur	Lunch	2.0	3.0	Yes	Male
16.66	Thur	Lunch	2.0	3.4	No	Male
10.07	Thur	Lunch	1.0	1.83	No	Female
32.68	Thur	Lunch	2.0	5.0	Yes	Male
15.98	Thur	Lunch	2.0	2.03	No	Male
34.83	Thur	Lunch	4.0	5.17	No	Female
13.03	Thur	Lunch	2.0	2.0	No	Male
18.28	Thur	Lunch	2.0	4.0	No	Male
24.71	Thur	Lunch	2.0	5.85	No	Male
21.16	Thur	Lunch	2.0	3.0	No	Male
28.97	Fri	Dinner	2.0	3.0	Yes	Male
22.49	Fri	Dinner	2.0	3.5	No	Male
5.75	Fri	Dinner	2.0	1.0	Yes	Female
16.32	Fri	Dinner	2.0	4.3	Yes	Female
22.75	Fri	Dinner	2.0	3.25	No	Female
40.17	Fri	Dinner	4.0	4.73	Yes	Male
27.28	Fri	Dinner	2.0	4.0	Yes	Male
12.03	Fri	Dinner	2.0	1.5	Yes	Male
21.01	Fri	Dinner	2.0	3.0	Yes	Male
12.46	Fri	Dinner	2.0	1.5	No	Male
11.35	Fri	Dinner	2.0	2.5	Yes	Female
15.38	Fri	Dinner	2.0	3.0	Yes	Female
44.3	Sat	Dinner	3.0	2.5	Yes	Female
22.42	Sat	Dinner	2.0	3.48	Yes	Female
20.92	Sat	Dinner	2.0	4.08	No	Female
15.36	Sat	Dinner	2.0	1.64	Yes	Male
20.49	Sat	Dinner	2.0	4.06	Yes	Male
25.21	Sat	Dinner	2.0	4.29	Yes	Male
18.24	Sat	Dinner	2.0	3.76	No	Male
14.31	Sat	Dinner	2.0	4.0	Yes	Female
14.0	Sat	Dinner	2.0	3.0	No	Male
7.25	Sat	Dinner	1.0	1.0	No	Female
38.07	Sun	Dinner	3.0	4.0	No	Male
23.95	Sun	Dinner	2.0	2.55	No	Male
25.71	Sun	Dinner	3.0	4.0	No	Female
17.31	Sun	Dinner	2.0	3.5	No	Female
29.93	Sun	Dinner	4.0	5.07	No	Male
10.65	Thur	Lunch	2.0	1.5	No	Female
12.43	Thur	Lunch	2.0	1.8	No	Female
24.08	Thur	Lunch	4.0	2.92	No	Female
11.69	Thur	Lunch	2.0	2.31	No	Male
13.42	Thur	Lunch	2.0	1.68	No	Female
14.26	Thur	Lunch	2.0	2.5	No	Male
15.95	Thur	Lunch	2.0	2.0	No	Male
12.48	Thur	Lunch	2.0	2.52	No	Female
29.8	Thur	Lunch	6.0	4.2	No	Female
8.52	Thur	Lunch	2.0	1.48	No	Male
14.52	Thur	Lunch	2.0	2.0	No	Female
11.38	Thur	Lunch	2.0	2.0	No	Female
22.82	Thur	Lunch	3.0	2.18	No	Male
19.08	Thur	Lunch	2.0	1.5	No	Male
20.27	Thur	Lunch	2.0	2.83	No	Female
11.17	Thur	Lunch	2.0	1.5	No	Female
12.26	Thur	Lunch	2.0	2.0	No	Female
18.26	Thur	Lunch	2.0	3.25	No	Female
8.51	Thur	Lunch	2.0	1.25	No	Female
10.33	Thur	Lunch	2.0	2.0	No	Female
14.15	Thur	Lunch	2.0	2.0	No	Female
16.0	Thur	Lunch	2.0	2.0	Yes	Male
13.16	Thur	Lunch	2.0	2.75	No	Female
17.47	Thur	Lunch	2.0	3.5	No	Female
34.3	Thur	Lunch	6.0	6.7	No	Male
41.19	Thur	Lunch	5.0	5.0	No	Male
27.05	Thur	Lunch	6.0	5.0	No	Female
16.43	Thur	Lunch	2.0	2.3	No	Female
8.35	Thur	Lunch	2.0	1.5	No	Female
18.64	Thur	Lunch	3.0	1.36	No	Female
11.87	Thur	Lunch	2.0	1.63	No	Female
9.78	Thur	Lunch	2.0	1.73	No	Male
7.51	Thur	Lunch	2.0	2.0	No	Male
14.07	Sun	Dinner	2.0	2.5	No	Male
13.13	Sun	Dinner	2.0	2.0	No	Male
17.26	Sun	Dinner	3.0	2.74	No	Male
24.55	Sun	Dinner	4.0	2.0	No	Male
19.77	Sun	Dinner	4.0	2.0	No	Male
29.85	Sun	Dinner	5.0	5.14	No	Female
48.17	Sun	Dinner	6.0	5.0	No	Male
25.0	Sun	Dinner	4.0	3.75	No	Female
13.39	Sun	Dinner	2.0	2.61	No	Female
16.49	Sun	Dinner	4.0	2.0	No	Male
21.5	Sun	Dinner	4.0	3.5	No	Male
12.66	Sun	Dinner	2.0	2.5	No	Male
16.21	Sun	Dinner	3.0	2.0	No	Female
13.81	Sun	Dinner	2.0	2.0	No	Male
17.51	Sun	Dinner	2.0	3.0	Yes	Female
24.52	Sun	Dinner	3.0	3.48	No	Male
20.76	Sun	Dinner	2.0	2.24	No	Male
31.71	Sun	Dinner	4.0	4.5	No	Male
10.59	Sat	Dinner	2.0	1.61	Yes	Female
10.63	Sat	Dinner	2.0	2.0	Yes	Female
50.81	Sat	Dinner	3.0	10.0	Yes	Male
15.81	Sat	Dinner	2.0	3.16	Yes	Male
7.25	Sun	Dinner	2.0	5.15	Yes	Male
31.85	Sun	Dinner	2.0	3.18	Yes	Male
16.82	Sun	Dinner	2.0	4.0	Yes	Male
32.9	Sun	Dinner	2.0	3.11	Yes	Male
17.89	Sun	Dinner	2.0	2.0	Yes	Male
14.48	Sun	Dinner	2.0	2.0	Yes	Male
9.6	Sun	Dinner	2.0	4.0	Yes	Female
34.63	Sun	Dinner	2.0	3.55	Yes	Male
34.65	Sun	Dinner	4.0	3.68	Yes	Male
23.33	Sun	Dinner	2.0	5.65	Yes	Male
45.35	Sun	Dinner	3.0	3.5	Yes	Male
23.17	Sun	Dinner	4.0	6.5	Yes	Male
40.55	Sun	Dinner	2.0	3.0	Yes	Male
20.69	Sun	Dinner	5.0	5.0	No	Male
20.9	Sun	Dinner	3.0	3.5	Yes	Female
30.46	Sun	Dinner	5.0	2.0	Yes	Male
18.15	Sun	Dinner	3.0	3.5	Yes	Female
23.1	Sun	Dinner	3.0	4.0	Yes	Male
15.69	Sun	Dinner	2.0	1.5	Yes	Male
19.81	Thur	Lunch	2.0	4.19	Yes	Female
28.44	Thur	Lunch	2.0	2.56	Yes	Male
15.48	Thur	Lunch	2.0	2.02	Yes	Male
16.58	Thur	Lunch	2.0	4.0	Yes	Male
7.56	Thur	Lunch	2.0	1.44	No	Male
10.34	Thur	Lunch	2.0	2.0	Yes	Male
43.11	Thur	Lunch	4.0	5.0	Yes	Female
13.0	Thur	Lunch	2.0	2.0	Yes	Female
13.51	Thur	Lunch	2.0	2.0	Yes	Male
18.71	Thur	Lunch	3.0	4.0	Yes	Male
12.74	Thur	Lunch	2.0	2.01	Yes	Female
13.0	Thur	Lunch	2.0	2.0	Yes	Female
16.4	Thur	Lunch	2.0	2.5	Yes	Female
20.53	Thur	Lunch	4.0	4.0	Yes	Male
16.47	Thur	Lunch	3.0	3.23	Yes	Female
26.59	Sat	Dinner	3.0	3.41	Yes	Male
38.73	Sat	Dinner	4.0	3.0	Yes	Male
24.27	Sat	Dinner	2.0	2.03	Yes	Male
12.76	Sat	Dinner	2.0	2.23	Yes	Female
30.06	Sat	Dinner	3.0	2.0	Yes	Male
25.89	Sat	Dinner	4.0	5.16	Yes	Male
48.33	Sat	Dinner	4.0	9.0	No	Male
13.27	Sat	Dinner	2.0	2.5	Yes	Female
28.17	Sat	Dinner	3.0	6.5	Yes	Female
12.9	Sat	Dinner	2.0	1.1	Yes	Female
28.15	Sat	Dinner	5.0	3.0	Yes	Male
11.59	Sat	Dinner	2.0	1.5	Yes	Male
7.74	Sat	Dinner	2.0	1.44	Yes	Male
30.14	Sat	Dinner	4.0	3.09	Yes	Female
12.16	Fri	Lunch	2.0	2.2	Yes	Male
13.42	Fri	Lunch	2.0	3.48	Yes	Female
8.58	Fri	Lunch	1.0	1.92	Yes	Male
15.98	Fri	Lunch	3.0	3.0	No	Female
13.42	Fri	Lunch	2.0	1.58	Yes	Male
16.27	Fri	Lunch	2.0	2.5	Yes	Female
10.09	Fri	Lunch	2.0	2.0	Yes	Female
20.45	Sat	Dinner	4.0	3.0	No	Male
13.28	Sat	Dinner	2.0	2.72	No	Male
22.12	Sat	Dinner	2.0	2.88	Yes	Female
24.01	Sat	Dinner	4.0	2.0	Yes	Male
15.69	Sat	Dinner	3.0	3.0	Yes	Male
11.61	Sat	Dinner	2.0	3.39	No	Male
10.77	Sat	Dinner	2.0	1.47	No	Male
15.53	Sat	Dinner	2.0	3.0	Yes	Male
10.07	Sat	Dinner	2.0	1.25	No	Male
12.6	Sat	Dinner	2.0	1.0	Yes	Male
32.83	Sat	Dinner	2.0	1.17	Yes	Male
35.83	Sat	Dinner	3.0	4.67	No	Female
29.03	Sat	Dinner	3.0	5.92	No	Male
27.18	Sat	Dinner	2.0	2.0	Yes	Female
22.67	Sat	Dinner	2.0	2.0	Yes	Male
17.82	Sat	Dinner	2.0	1.75	No	Male
18.78	Thur	Dinner	2.0	3.0	No	Female
