total_bill	day	time	size	sex	tip	smoker
continuous	discrete	discrete	continuous	discrete	continuous	discrete
						class
16.99	Sun	Dinner	2.0	Female	1.01	No
10.34	Sun	Dinner	3.0	Male	1.66	No
21.01	Sun	Dinner	3.0	Male	3.5	No
23.68	Sun	Dinner	2.0	Male	3.31	No
24.59	Sun	Dinner	4.0	Female	3.61	No
25.29	Sun	Dinner	4.0	Male	4.71	No
8.77	Sun	Dinner	2.0	Male	2.0	No
26.88	Sun	Dinner	4.0	Male	3.12	No
15.04	Sun	Dinner	2.0	Male	1.96	No
14.78	Sun	Dinner	2.0	Male	3.23	No
10.27	Sun	Dinner	2.0	Male	1.71	No
35.26	Sun	Dinner	4.0	Female	5.0	No
15.42	Sun	Dinner	2.0	Male	1.57	No
18.43	Sun	Dinner	4.0	Male	3.0	No
14.83	Sun	Dinner	2.0	Female	3.02	No
21.58	Sun	Dinner	2.0	Male	3.92	No
10.33	Sun	Dinner	3.0	Female	1.67	No
16.29	Sun	Dinner	3.0	Male	3.71	No
16.97	Sun	Dinner	3.0	Female	3.5	No
20.65	Sat	Dinner	3.0	Male	3.35	No
17.92	Sat	Dinner	2.0	Male	4.08	No
20.29	Sat	Dinner	2.0	Female	2.75	No
15.77	Sat	Dinner	2.0	Female	2.23	No
39.42	Sat	Dinner	4.0	Male	7.58	No
19.82	Sat	Dinner	2.0	Male	3.18	No
17.81	Sat	Dinner	4.0	Male	2.34	No
13.37	Sat	Dinner	2.0	Male	2.0	No
12.69	Sat	Dinner	2.0	Male	2.0	No
21.7	Sat	Dinner	2.0	Male	4.3	No
19.65	Sat	Dinner	2.0	Female	3.0	No
9.55	Sat	Dinner	2.0	Male	1.45	No
18.35	Sat	Dinner	4.0	Male	2.5	No
15.06	Sat	Dinner	2.0	Female	3.0	No
20.69	Sat	Dinner	4.0	Female	2.45	No
17.78	Sat	Dinner	2.0	Male	3.27	No
24.06	Sat	Dinner	3.0	Male	3.6	No
16.31	Sat	Dinner	3.0	Male	2.0	No
16.93	Sat	Dinner	3.0	Female	3.07	No
18.69	Sat	Dinner	3.0	Male	2.31	No
31.27	Sat	Dinner	3.0	Male	5.0	No
16.04	Sat	Dinner	3.0	Male	2.24	No
17.46	Sun	Dinner	2.0	Male	2.54	No
13.94	Sun	Dinner	2.0	Male	3.06	No
9.68	Sun	Dinner	2.0	Male	1.32	No
30.4	Sun	Dinner	4.0	Male	5.6	No
18.29	Sun	Dinner	2.0	Male	3.0	No
22.23	Sun	Dinner	2.0	Male	5.0	No
32.4	Sun	Dinner	4.0	Male	6.0	No
28.55	Sun	Dinner	3.0	Male	2.05	No
18.04	Sun	Dinner	2.0	Male	3.0	No
12.54	Sun	Dinner	2.0	Male	2.5	No
10.29	Sun	Dinner	2.0	Female	2.6	No
34.81	Sun	Dinner	4.0	Female	5.2	No
9.94	Sun	Dinner	2.0	Male	1.56	No
25.56	Sun	Dinner	4.0	Male	4.34	No
19.49	Sun	Dinner	2.0	Male	3.51	No
38.01	Sat	Dinner	4.0	Male	3.0	Yes
26.41	Sat	Dinner	2.0	Female	1.5	No
11.24	Sat	Dinner	2.0	Male	1.76	Yes
48.27	Sat	Dinner	4.0	Male	6.73	No
20.29	Sat	Dinner	2.0	Male	3.21	Yes
13.81	Sat	Dinner	2.0	Male	2.0	Yes
11.02	Sat	Dinner	2.0	Male	1.98	Yes
18.29	Sat	Dinner	4.0	Male	3.76	Yes
17.59	Sat	Dinner	3.0	Male	2.64	No
20.08	Sat	Dinner	3.0	Male	3.15	No
16.45	Sat	Dinner	2.0	Female	2.47	No
3.07	Sat	Dinner	1.0	Female	1.0	Yes
20.23	Sat	Dinner	2.0	Male	2.01	No
15.01	Sat	Dinner	2.0	Male	2.09	Yes
12.02	Sat	Dinner	2.0	Male	1.97	No
17.07	Sat	Dinner	3.0	Female	3.0	No
26.86	Sat	Dinner	2.0	Female	3.14	Yes
25.28	Sat	Dinner	2.0	Female	5.0	Yes
14.73	Sat	Dinner	2.0	Female	2.2	No
10.51	Sat	Dinner	2.0	Male	1.25	No
17.92	Sat	Dinner	2.0	Male	3.08	Yes
27.2	Thur	Lunch	4.0	Male	4.0	No
22.76	Thur	Lunch	2.0	Male	3.0	No
17.29	Thur	Lunch	2.0	Male	2.71	No
19.44	Thur	Lunch	2.0	Male	3.0	Yes
16.66	Thur	Lunch	2.0	Male	3.4	No
10.07	Thur	Lunch	1.0	Female	1.83	No
32.68	Thur	Lunch	2.0	Male	5.0	Yes
15.98	Thur	Lunch	2.0	Male	2.03	No
34.83	Thur	Lunch	4.0	Female	5.17	No
13.03	Thur	Lunch	2.0	Male	2.0	No
18.28	Thur	Lunch	2.0	Male	4.0	No
24.71	Thur	Lunch	2.0	Male	5.85	No
21.16	Thur	Lunch	2.0	Male	3.0	No
28.97	Fri	Dinner	2.0	Male	3.0	Yes
22.49	Fri	Dinner	2.0	Male	3.5	No
5.75	Fri	Dinner	2.0	Female	1.0	Yes
16.32	Fri	Dinner	2.0	Female	4.3	Yes
22.75	Fri	Dinner	2.0	Female	3.25	No
40.17	Fri	Dinner	4.0	Male	4.73	Yes
27.28	Fri	Dinner	2.0	Male	4.0	Yes
12.03	Fri	Dinner	2.0	Male	1.5	Yes
21.01	Fri	Dinner	2.0	Male	3.0	Yes
12.46	Fri	Dinner	2.0	Male	1.5	No
11.35	Fri	Dinner	2.0	Female	2.5	Yes
15.38	Fri	Dinner	2.0	Female	3.0	Yes
44.3	Sat	Dinner	3.0	Female	2.5	Yes
22.42	Sat	Dinner	2.0	Female	3.48	Yes
20.92	Sat	Dinner	2.0	Female	4.08	No
15.36	Sat	Dinner	2.0	Male	1.64	Yes
20.49	Sat	Dinner	2.0	Male	4.06	Yes
25.21	Sat	Dinner	2.0	Male	4.29	Yes
18.24	Sat	Dinner	2.0	Male	3.76	No
14.31	Sat	Dinner	2.0	Female	4.0	Yes
14.0	Sat	Dinner	2.0	Male	3.0	No
7.25	Sat	Dinner	1.0	Female	1.0	No
38.07	Sun	Dinner	3.0	Male	4.0	No
23.95	Sun	Dinner	2.0	Male	2.55	No
25.71	Sun	Dinner	3.0	Female	4.0	No
17.31	Sun	Dinner	2.0	Female	3.5	No
29.93	Sun	Dinner	4.0	Male	5.07	No
10.65	Thur	Lunch	2.0	Female	1.5	No
12.43	Thur	Lunch	2.0	Female	1.8	No
24.08	Thur	Lunch	4.0	Female	2.92	No
11.69	Thur	Lunch	2.0	Male	2.31	No
13.42	Thur	Lunch	2.0	Female	1.68	No
14.26	Thur	Lunch	2.0	Male	2.5	No
15.95	Thur	Lunch	2.0	Male	2.0	No
12.48	Thur	Lunch	2.0	Female	2.52	No
29.8	Thur	Lunch	6.0	Female	4.2	No
8.52	Thur	Lunch	2.0	Male	1.48	No
14.52	Thur	Lunch	2.0	Female	2.0	No
11.38	Thur	Lunch	2.0	Female	2.0	No
22.82	Thur	Lunch	3.0	Male	2.18	No
19.08	Thur	Lunch	2.0	Male	1.5	No
20.27	Thur	Lunch	2.0	Female	2.83	No
11.17	Thur	Lunch	2.0	Female	1.5	No
12.26	Thur	Lunch	2.0	Female	2.0	No
18.26	Thur	Lunch	2.0	Female	3.25	No
8.51	Thur	Lunch	2.0	Female	1.25	No
10.33	Thur	Lunch	2.0	Female	2.0	No
14.15	Thur	Lunch	2.0	Female	2.0	No
16.0	Thur	Lunch	2.0	Male	2.0	Yes
13.16	Thur	Lunch	2.0	Female	2.75	No
17.47	Thur	Lunch	2.0	Female	3.5	No
34.3	Thur	Lunch	6.0	Male	6.7	No
41.19	Thur	Lunch	5.0	Male	5.0	No
27.05	Thur	Lunch	6.0	Female	5.0	No
16.43	Thur	Lunch	2.0	Female	2.3	No
8.35	Thur	Lunch	2.0	Female	1.5	No
18.64	Thur	Lunch	3.0	Female	1.36	No
11.87	Thur	Lunch	2.0	Female	1.63	No
9.78	Thur	Lunch	2.0	Male	1.73	No
7.51	Thur	Lunch	2.0	Male	2.0	No
14.07	Sun	Dinner	2.0	Male	2.5	No
13.13	Sun	Dinner	2.0	Male	2.0	No
17.26	Sun	Dinner	3.0	Male	2.74	No
24.55	Sun	Dinner	4.0	Male	2.0	No
19.77	Sun	Dinner	4.0	Male	2.0	No
29.85	Sun	Dinner	5.0	Female	5.14	No
48.17	Sun	Dinner	6.0	Male	5.0	No
25.0	Sun	Dinner	4.0	Female	3.75	No
13.39	Sun	Dinner	2.0	Female	2.61	No
16.49	Sun	Dinner	4.0	Male	2.0	No
21.5	Sun	Dinner	4.0	Male	3.5	No
12.66	Sun	Dinner	2.0	Male	2.5	No
16.21	Sun	Dinner	3.0	Female	2.0	No
13.81	Sun	Dinner	2.0	Male	2.0	No
17.51	Sun	Dinner	2.0	Female	3.0	Yes
24.52	Sun	Dinner	3.0	Male	3.48	No
20.76	Sun	Dinner	2.0	Male	2.24	No
31.71	Sun	Dinner	4.0	Male	4.5	No
10.59	Sat	Dinner	2.0	Female	1.61	Yes
10.63	Sat	Dinner	2.0	Female	2.0	Yes
50.81	Sat	Dinner	3.0	Male	10.0	Yes
15.81	Sat	Dinner	2.0	Male	3.16	Yes
7.25	Sun	Dinner	2.0	Male	5.15	Yes
31.85	Sun	Dinner	2.0	Male	3.18	Yes
16.82	Sun	Dinner	2.0	Male	4.0	Yes
32.9	Sun	Dinner	2.0	Male	3.11	Yes
17.89	Sun	Dinner	2.0	Male	2.0	Yes
14.48	Sun	Dinner	2.0	Male	2.0	Yes
9.6	Sun	Dinner	2.0	Female	4.0	Yes
