total_bill	size	tip	sex	smoker	day	time
continuous	continuous	continuous	discrete	discrete	discrete	discrete
						class
16.99	2.0	1.01	Female	No	Sun	Dinner
10.34	3.0	1.66	Male	No	Sun	Dinner
21.01	3.0	3.5	Male	No	Sun	Dinner
23.68	2.0	3.31	Male	No	Sun	Dinner
24.59	4.0	3.61	Female	No	Sun	Dinner
25.29	4.0	4.71	Male	No	Sun	Dinner
8.77	2.0	2.0	Male	No	Sun	Dinner
26.88	4.0	3.12	Male	No	Sun	Dinner
15.04	2.0	1.96	Male	No	Sun	Dinner
14.78	2.0	3.23	Male	No	Sun	Dinner
10.27	2.0	1.71	Male	No	Sun	Dinner
35.26	4.0	5.0	Female	No	Sun	Dinner
15.42	2.0	1.57	Male	No	Sun	Dinner
18.43	4.0	3.0	Male	No	Sun	Dinner
14.83	2.0	3.02	Female	No	Sun	Dinner
21.58	2.0	3.92	Male	No	Sun	Dinner
10.33	3.0	1.67	Female	No	Sun	Dinner
16.29	3.0	3.71	Male	No	Sun	Dinner
16.97	3.0	3.5	Female	No	Sun	Dinner
20.65	3.0	3.35	Male	No	Sat	Dinner
17.92	2.0	4.08	Male	No	Sat	Dinner
20.29	2.0	2.75	Female	No	Sat	Dinner
15.77	2.0	2.23	Female	No	Sat	Dinner
39.42	4.0	7.58	Male	No	Sat	Dinner
19.82	2.0	3.18	Male	No	Sat	Dinner
17.81	4.0	2.34	Male	No	Sat	Dinner
13.37	2.0	2.0	Male	No	Sat	Dinner
12.69	2.0	2.0	Male	No	Sat	Dinner
21.7	2.0	4.3	Male	No	Sat	Dinner
19.65	2.0	3.0	Female	No	Sat	Dinner
9.55	2.0	1.45	Male	No	Sat	Dinner
18.35	4.0	2.5	Male	No	Sat	Dinner
15.06	2.0	3.0	Female	No	Sat	Dinner
20.69	4.0	2.45	Female	No	Sat	Dinner
17.78	2.0	3.27	Male	No	Sat	Dinner
24.06	3.0	3.6	Male	No	Sat	Dinner
16.31	3.0	2.0	Male	No	Sat	Dinner
16.93	3.0	3.07	Female	No	Sat	Dinner
18.69	3.0	2.31	Male	No	Sat	Dinner
31.27	3.0	5.0	Male	No	Sat	Dinner
16.04	3.0	2.24	Male	No	Sat	Dinner
17.46	2.0	2.54	Male	No	Sun	Dinner
13.94	2.0	3.06	Male	No	Sun	Dinner
9.68	2.0	1.32	Male	No	Sun	Dinner
30.4	4.0	5.6	Male	No	Sun	Dinner
18.29	2.0	3.0	Male	No	Sun	Dinner
22.23	2.0	5.0	Male	No	Sun	Dinner
32.4	4.0	6.0	Male	No	Sun	Dinner
28.55	3.0	2.05	Male	No	Sun	Dinner
18.04	2.0	3.0	Male	No	Sun	Dinner
12.54	2.0	2.5	Male	No	Sun	Dinner
10.29	2.0	2.6	Female	No	Sun	Dinner
34.81	4.0	5.2	Female	No	Sun	Dinner
9.94	2.0	1.56	Male	No	Sun	Dinner
25.56	4.0	4.34	Male	No	Sun	Dinner
19.49	2.0	3.51	Male	No	Sun	Dinner
38.01	4.0	3.0	Male	Yes	Sat	Dinner
26.41	2.0	1.5	Female	No	Sat	Dinner
11.24	2.0	1.76	Male	Yes	Sat	Dinner
48.27	4.0	6.73	Male	No	Sat	Dinner
20.29	2.0	3.21	Male	Yes	Sat	Dinner
13.81	2.0	2.0	Male	Yes	Sat	Dinner
11.02	2.0	1.98	Male	Yes	Sat	Dinner
18.29	4.0	3.76	Male	Yes	Sat	Dinner
17.59	3.0	2.64	Male	No	Sat	Dinner
20.08	3.0	3.15	Male	No	Sat	Dinner
16.45	2.0	2.47	Female	No	Sat	Dinner
3.07	1.0	1.0	Female	Yes	Sat	Dinner
20.23	2.0	2.01	Male	No	Sat	Dinner
15.01	2.0	2.09	Male	Yes	Sat	Dinner
12.02	2.0	1.97	Male	No	Sat	Dinner
17.07	3.0	3.0	Female	No	Sat	Dinner
26.86	2.0	3.14	Female	Yes	Sat	Dinner
25.28	2.0	5.0	Female	Yes	Sat	Dinner
14.73	2.0	2.2	Female	No	Sat	Dinner
10.51	2.0	1.25	Male	No	Sat	Dinner
17.92	2.0	3.08	Male	Yes	Sat	Dinner
27.2	4.0	4.0	Male	No	Thur	Lunch
22.76	2.0	3.0	Male	No	Thur	Lunch
17.29	2.0	2.71	Male	No	Thur	Lunch
19.44	2.0	3.0	Male	Yes	Thur	Lunch
16.66	2.0	3.4	Male	No	Thur	Lunch
10.07	1.0	1.83	Female	No	Thur	Lunch
32.68	2.0	5.0	Male	Yes	Thur	Lunch
15.98	2.0	2.03	Male	No	Thur	Lunch
34.83	4.0	5.17	Female	No	Thur	Lunch
13.03	2.0	2.0	Male	No	Thur	Lunch
18.28	2.0	4.0	Male	No	Thur	Lunch
24.71	2.0	5.85	Male	No	Thur	Lunch
21.16	2.0	3.0	Male	No	Thur	Lunch
28.97	2.0	3.0	Male	Yes	Fri	Dinner
22.49	2.0	3.5	Male	No	Fri	Dinner
5.75	2.0	1.0	Female	Yes	Fri	Dinner
16.32	2.0	4.3	Female	Yes	Fri	Dinner
22.75	2.0	3.25	Female	No	Fri	Dinner
40.17	4.0	4.73	Male	Yes	Fri	Dinner
27.28	2.0	4.0	Male	Yes	Fri	Dinner
12.03	2.0	1.5	Male	Yes	Fri	Dinner
21.01	2.0	3.0	Male	Yes	Fri	Dinner
12.46	2.0	1.5	Male	No	Fri	Dinner
11.35	2.0	2.5	Female	Yes	Fri	Dinner
15.38	2.0	3.0	Female	Yes	Fri	Dinner
44.3	3.0	2.5	Female	Yes	Sat	Dinner
22.42	2.0	3.48	Female	Yes	Sat	Dinner
20.92	2.0	4.08	Female	No	Sat	Dinner
15.36	2.0	1.64	Male	Yes	Sat	Dinner
20.49	2.0	4.06	Male	Yes	Sat	Dinner
25.21	2.0	4.29	Male	Yes	Sat	Dinner
18.24	2.0	3.76	Male	No	Sat	Dinner
14.31	2.0	4.0	Female	Yes	Sat	Dinner
14.0	2.0	3.0	Male	No	Sat	Dinner
7.25	1.0	1.0	Female	No	Sat	Dinner
38.07	3.0	4.0	Male	No	Sun	Dinner
23.95	2.0	2.55	Male	No	Sun	Dinner
25.71	3.0	4.0	Female	No	Sun	Dinner
17.31	2.0	3.5	Female	No	Sun	Dinner
29.93	4.0	5.07	Male	No	Sun	Dinner
10.65	2.0	1.5	Female	No	Thur	Lunch
12.43	2.0	1.8	Female	No	Thur	Lunch
24.08	4.0	2.92	Female	No	Thur	Lunch
11.69	2.0	2.31	Male	No	Thur	Lunch
13.42	2.0	1.68	Female	No	Thur	Lunch
14.26	2.0	2.5	Male	No	Thur	Lunch
15.95	2.0	2.0	Male	No	Thur	Lunch
12.48	2.0	2.52	Female	No	Thur	Lunch
29.8	6.0	4.2	Female	No	Thur	Lunch
8.52	2.0	1.48	Male	No	Thur	Lunch
14.52	2.0	2.0	Female	No	Thur	Lunch
11.38	2.0	2.0	Female	No	Thur	Lunch
22.82	3.0	2.18	Male	No	Thur	Lunch
19.08	2.0	1.5	Male	No	Thur	Lunch
20.27	2.0	2.83	Female	No	Thur	Lunch
11.17	2.0	1.5	Female	No	Thur	Lunch
12.26	2.0	2.0	Female	No	Thur	Lunch
18.26	2.0	3.25	Female	No	Thur	Lunch
8.51	2.0	1.25	Female	No	Thur	Lunch
10.33	2.0	2.0	Female	No	Thur	Lunch
14.15	2.0	2.0	Female	No	Thur	Lunch
16.0	2.0	2.0	Male	Yes	Thur	Lunch
13.16	2.0	2.75	Female	No	Thur	Lunch
17.47	2.0	3.5	Female	No	Thur	Lunch
34.3	6.0	6.7	Male	No	Thur	Lunch
41.19	5.0	5.0	Male	No	Thur	Lunch
27.05	6.0	5.0	Female	No	Thur	Lunch
16.43	2.0	2.3	Female	No	Thur	Lunch
8.35	2.0	1.5	Female	No	Thur	Lunch
18.64	3.0	1.36	Female	No	Thur	Lunch
11.87	2.0	1.63	Female	No	Thur	Lunch
9.78	2.0	1.73	Male	No	Thur	Lunch
7.51	2.0	2.0	Male	No	Thur	Lunch
14.07	2.0	2.5	Male	No	Sun	Dinner
13.13	2.0	2.0	Male	No	Sun	Dinner
17.26	3.0	2.74	Male	No	Sun	Dinner
24.55	4.0	2.0	Male	No	Sun	Dinner
19.77	4.0	2.0	Male	No	Sun	Dinner
29.85	5.0	5.14	Female	No	Sun	Dinner
48.17	6.0	5.0	Male	No	Sun	Dinner
25.0	4.0	3.75	Female	No	Sun	Dinner
13.39	2.0	2.61	Female	No	Sun	Dinner
16.49	4.0	2.0	Male	No	Sun	Dinner
21.5	4.0	3.5	Male	No	Sun	Dinner
12.66	2.0	2.5	Male	No	Sun	Dinner
16.21	3.0	2.0	Female	No	Sun	Dinner
13.81	2.0	2.0	Male	No	Sun	Dinner
17.51	2.0	3.0	Female	Yes	Sun	Dinner
24.52	3.0	3.48	Male	No	Sun	Dinner
20.76	2.0	2.24	Male	No	Sun	Dinner
31.71	4.0	4.5	Male	No	Sun	Dinner
10.59	2.0	1.61	Female	Yes	Sat	Dinner
10.63	2.0	2.0	Female	Yes	Sat	Dinner
50.81	3.0	10.0	Male	Yes	Sat	Dinner
15.81	2.0	3.16	Male	Yes	Sat	Dinner
7.25	2.0	5.15	Male	Yes	Sun	Dinner
31.85	2.0	3.18	Male	Yes	Sun	Dinner
16.82	2.0	4.0	Male	Yes	Sun	Dinner
32.9	2.0	3.11	Male	Yes	Sun	Dinner
17.89	2.0	2.0	Male	Yes	Sun	Dinner
14.48	2.0	2.0	Male	Yes	Sun	Dinner
9.6	2.0	4.0	Female	Yes	Sun	Dinner
34.63	2.0	3.55	Male	Yes	Sun	Dinner
34.65	4.0	3.68	Male	Yes	Sun	Dinner
23.33	2.0	5.65	Male	Yes	Sun	Dinner
45.35	3.0	3.5	Male	Yes	Sun	Dinner
23.17	4.0	6.5	Male	Yes	Sun	Dinner
40.55	2.0	3.0	Male	Yes	Sun	Dinner
20.69	5.0	5.0	Male	No	Sun	Dinner
20.9	3.0	3.5	Female	Yes	Sun	Dinner
30.46	5.0	2.0	Male	Yes	Sun	Dinner
18.15	3.0	3.5	Female	Yes	Sun	Dinner
23.1	3.0	4.0	Male	Yes	Sun	Dinner
15.69	2.0	1.5	Male	Yes	Sun	Dinner
19.81	2.0	4.19	Female	Yes	Thur	Lunch
28.44	2.0	2.56	Male	Yes	Thur	Lunch
15.48	2.0	2.02	Male	Yes	Thur	Lunch
16.58	2.0	4.0	Male	Yes	Thur	Lunch
7.56	2.0	1.44	Male	No	Thur	Lunch
10.34	2.0	2.0	Male	Yes	Thur	Lunch
43.11	4.0	5.0	Female	Yes	Thur	Lunch
13.0	2.0	2.0	Female	Yes	Thur	Lunch
13.51	2.0	2.0	Male	Yes	Thur	Lunch
18.71	3.0	4.0	Male	Yes	Thur	Lunch
12.74	2.0	2.01	Female	Yes	Thur	Lunch
13.0	2.0	2.0	Female	Yes	Thur	Lunch
16.4	2.0	2.5	Female	Yes	Thur	Lunch
20.53	4.0	4.0	Male	Yes	Thur	Lunch
16.47	3.0	3.23	Female	Yes	Thur	Lunch
26.59	3.0	3.41	Male	Yes	Sat	Dinner
38.73	4.0	3.0	Male	Yes	Sat	Dinner
24.27	2.0	2.03	Male	Yes	Sat	Dinner
12.76	2.0	2.23	Female	Yes	Sat	Dinner
30.06	3.0	2.0	Male	Yes	Sat	Dinner
25.89	4.0	5.16	Male	Yes	Sat	Dinner
48.33	4.0	9.0	Male	No	Sat	Dinner
13.27	2.0	2.5	Female	Yes	Sat	Dinner
28.17	3.0	6.5	Female	Yes	Sat	Dinner
12.9	2.0	1.1	Female	Yes	Sat	Dinner
28.15	5.0	3.0	Male	Yes	Sat	Dinner
11.59	2.0	1.5	Male	Yes	Sat	Dinner
7.74	2.0	1.44	Male	Yes	Sat	Dinner
30.14	4.0	3.09	Female	Yes	Sat	Dinner
12.16	2.0	2.2	Male	Yes	Fri	Lunch
13.42	2.0	3.48	Female	Yes	Fri	Lunch
8.58	1.0	1.92	Male	Yes	Fri	Lunch
15.98	3.0	3.0	Female	No	Fri	Lunch
13.42	2.0	1.58	Male	Yes	Fri	Lunch
16.27	2.0	2.5	Female	Yes	Fri	Lunch
10.09	2.0	2.0	Female	Yes	Fri	Lunch
20.45	4.0	3.0	Male	No	Sat	Dinner
13.28	2.0	2.72	Male	No	Sat	Dinner
22.12	2.0	2.88	Female	Yes	Sat	Dinner
24.01	4.0	2.0	Male	Yes	Sat	Dinner
15.69	3.0	3.0	Male	Yes	Sat	Dinner
11.61	2.0	3.39	Male	No	Sat	Dinner
10.77	2.0	1.47	Male	No	Sat	Dinner
15.53	2.0	3.0	Male	Yes	Sat	Dinner
10.07	2.0	1.25	Male	No	Sat	Dinner
